,keypoints
0,"[[112.24374208 115.24814656]
 [117.68940472 106.95329405]
 [107.82686953 106.12901719]
 [131.8506495  114.18771169]
 [100.75539773 112.24139298]
 [144.63561684 149.31442889]
 [ 89.15254668 148.70168452]
 [160.16159705 199.01697662]
 [ 50.59946324 191.47609856]
 [152.14441167 138.65222296]
 [ 66.7298578  142.3529802 ]
 [130.46851536 251.56291397]
 [ 86.55779936 253.17460331]
 [137.92915137 328.98791352]
 [ 82.95473867 329.08695916]
 [145.99558211 397.48206562]
 [ 84.04751327 394.12900501]]"
1,"[[112.19637794 115.24885388]
 [117.70558727 106.96424306]
 [107.8128001  106.15269594]
 [131.80503362 114.24739417]
 [100.74865922 112.26968384]
 [144.596292   149.43776079]
 [ 89.18926329 148.83055275]
 [160.14795211 199.0911834 ]
 [ 50.63082742 191.4547932 ]
 [152.36363078 138.74803485]
 [ 66.76195568 142.23858516]
 [130.46897117 251.59547536]
 [ 86.55118513 253.23809421]
 [137.89863849 329.00885416]
 [ 83.04812553 329.13836098]
 [145.97087913 397.41350914]
 [ 84.19488617 394.20625245]]"
2,"[[112.20089071 115.23554184]
 [117.71993859 106.95991278]
 [107.82659032 106.16436332]
 [131.8201028  114.26894059]
 [100.76585468 112.23911007]
 [144.5586751  149.43587575]
 [ 89.19242063 148.75936038]
 [160.16750325 199.0649931 ]
 [ 50.66220627 191.46498584]
 [152.29895289 138.79472181]
 [ 66.66485705 142.32844837]
 [130.42029324 251.66911262]
 [ 86.47929126 253.3076369 ]
 [137.96270164 328.96726576]
 [ 83.02410093 329.32587591]
 [145.73345466 397.49380277]
 [ 84.10248223 394.17370453]]"
3,"[[112.22380377 115.13245776]
 [117.71657334 106.94536637]
 [107.81961691 106.16471008]
 [131.89868803 114.15582758]
 [100.70067666 112.27922718]
 [144.68528003 149.47091726]
 [ 89.2878413  148.79391285]
 [160.2697094  199.12355173]
 [ 50.6078997  191.41635875]
 [152.60305975 138.92414264]
 [ 66.76814242 142.29314645]
 [130.36766596 251.75856864]
 [ 86.57064964 253.30342595]
 [138.05896529 329.27954244]
 [ 83.35615707 329.35747993]
 [145.6971592  397.7451968 ]
 [ 84.16873446 394.27018647]]"
4,"[[112.20133319 115.2351495 ]
 [117.71601357 106.96602104]
 [107.84184059 106.20176788]
 [131.90567993 114.28965467]
 [100.80505291 112.34498753]
 [144.8358669  149.46062516]
 [ 89.37726848 148.93956274]
 [160.24917268 199.14245053]
 [ 50.69209374 191.34267555]
 [152.66802252 139.00153411]
 [ 66.91385334 142.27317182]
 [130.4745455  251.5787949 ]
 [ 86.57472326 253.15077225]
 [138.12162169 329.14366038]
 [ 83.16108085 329.15945151]
 [145.85352299 397.66703205]
 [ 84.28209494 394.2792449 ]]"
5,"[[112.20610319 115.23172064]
 [117.71862847 106.96322145]
 [107.85366763 106.20354862]
 [131.90449293 114.26801845]
 [100.78544246 112.30580776]
 [144.80782533 149.45707058]
 [ 89.3612272  148.91251453]
 [160.2557236  199.12619314]
 [ 50.61858722 191.38767209]
 [152.67065741 138.97050892]
 [ 66.84848874 142.63211802]
 [130.46101184 251.57627264]
 [ 86.56023    253.14992246]
 [138.13987004 329.13741052]
 [ 83.15216858 329.14151389]
 [145.86627898 397.6334784 ]
 [ 84.28198965 394.28102703]]"
6,"[[112.20446921 115.20522088]
 [117.7247659  106.96107047]
 [107.8325888  106.19514017]
 [131.8787294  114.24600232]
 [100.81027872 112.28941706]
 [144.72960678 149.50694793]
 [ 89.33340287 148.97015032]
 [160.25857307 199.16003691]
 [ 50.6614999  191.41039416]
 [152.55771176 138.91476991]
 [ 66.90734474 142.53237818]
 [130.40924887 251.72930763]
 [ 86.61548884 253.2586413 ]
 [138.1292415  329.2650392 ]
 [ 83.2764898  329.28989395]
 [145.53024784 397.96802574]
 [ 84.1661009  394.26095535]]"
7,"[[111.70733467 116.64555398]
 [117.60034539 106.84987565]
 [106.95016369 106.14633763]
 [131.90333058 114.67566531]
 [100.25758506 111.9294862 ]
 [145.47227747 150.99387828]
 [ 88.77952306 149.13748133]
 [157.99293477 196.1025435 ]
 [ 51.98536497 195.89516998]
 [154.29317612 145.12769659]
 [ 62.44686509 146.86608315]
 [130.65680143 251.54225101]
 [ 87.15802292 253.10525627]
 [138.31598222 328.9901992 ]
 [ 83.56025685 329.43727139]
 [145.57027906 397.91212233]
 [ 83.83821168 394.36021823]]"
8,"[[111.6536745  116.52800293]
 [117.54386973 106.82624801]
 [106.94688973 106.11885011]
 [131.88335429 114.71828706]
 [100.24741333 111.91438236]
 [145.5260376  150.93852885]
 [ 88.80358164 148.96251759]
 [158.06939806 196.01008861]
 [ 51.92410798 195.86477995]
 [154.33513887 145.09218951]
 [ 62.56298108 146.92356145]
 [130.7317177  251.49259505]
 [ 87.2006164  253.05161712]
 [138.31272558 328.99224622]
 [ 83.65105279 329.44984019]
 [145.56614745 397.90260663]
 [ 83.85203388 394.35164608]]"
9,"[[111.72342393 116.94661952]
 [117.83628049 107.11880356]
 [106.50725968 106.20669358]
 [132.96863986 115.34269946]
 [101.10425949 112.33678009]
 [147.93335651 153.19435695]
 [ 88.82494002 149.689418  ]
 [158.11464809 202.95341318]
 [ 57.68679106 198.66967121]
 [157.8541392  146.34383333]
 [ 61.49318152 148.14817364]
 [130.82218844 252.84946944]
 [ 87.74292408 254.52571382]
 [138.6912869  329.15485909]
 [ 80.76461206 330.97662449]
 [145.40299984 398.66181182]
 [ 84.01076335 394.68884865]]"
