,keypoints
0,"[[145.87873775  50.06421471]
 [151.98477527  47.27465137]
 [140.92542858  49.202464  ]
 [164.08145525  44.60509922]
 [139.35523872  52.98980739]
 [179.54930163  68.60221353]
 [133.35748902  74.25466064]
 [209.77468827 104.06323111]
 [128.12912027 102.46493968]
 [163.92480921 122.99741438]
 [143.57944853 116.2214535 ]
 [192.70431649 132.1657949 ]
 [146.09200834 145.77964375]
 [181.64518111 177.182817  ]
 [139.74944847 172.61302981]
 [187.46070197 220.55609558]
 [134.76636365 219.71953905]]"
1,"[[144.4334027   51.15659265]
 [150.90327884  48.26328645]
 [140.09789938  49.94524922]
 [161.98125978  46.24669853]
 [138.43023158  53.67527587]
 [178.64801892  68.92684637]
 [131.5496527   74.2886212 ]
 [209.32250921 103.80259126]
 [129.39624066 103.594567  ]
 [164.58999784 123.00707352]
 [143.47381592 116.96322441]
 [195.11386931 129.76953901]
 [145.99835748 145.95593051]
 [183.63649602 176.69238275]
 [138.48243571 171.68370543]
 [186.84808747 219.41444886]
 [133.22277926 218.93517592]]"
2,"[[143.53500081  50.52368912]
 [149.96824082  46.9972718 ]
 [139.5407167   48.38474465]
 [162.48329182  45.56154549]
 [138.30713593  52.50653629]
 [179.18351381  68.74449977]
 [131.1433751   74.27934025]
 [209.36159807 103.90668224]
 [128.09144143 103.52698918]
 [164.78709162 124.10618259]
 [141.64723772 118.34944174]
 [194.61730644 129.46167347]
 [145.10918863 144.99589091]
 [183.36137758 180.63218058]
 [137.81376914 174.95314026]
 [187.50700503 220.33404564]
 [132.80012757 219.95721375]]"
3,"[[143.2983863   50.58219816]
 [149.92118566  47.07103671]
 [139.45218959  48.56626794]
 [162.33507829  45.54056248]
 [138.31482844  52.74841276]
 [179.46463557  68.69413925]
 [130.99025141  74.31545026]
 [209.31317864 103.81642703]
 [128.16362523 103.79760722]
 [164.72102415 123.99216152]
 [142.03237858 118.91416262]
 [194.61219582 129.45268789]
 [146.83590948 131.86708713]
 [183.7469668  180.81735091]
 [136.7414626  195.89978369]
 [187.73263409 220.22636132]
 [133.02066433 220.19535147]]"
4,"[[143.87741073  50.74308788]
 [150.35500293  47.20046242]
 [139.45077756  48.66056304]
 [162.51497441  45.32278847]
 [139.27886456  52.32667989]
 [179.12126207  69.13198974]
 [132.11669605  73.99999038]
 [209.87958493 104.19086404]
 [127.22575912 104.67780679]
 [167.94186612 125.75852355]
 [133.14390293 119.3267294 ]
 [193.57950832 130.13890589]
 [145.49356999 129.84274042]
 [182.08092042 196.69621764]
 [133.57698021 192.30693725]
 [187.42512604 220.06454464]
 [136.78546842 214.70064841]]"
5,"[[143.69078039  50.78628236]
 [150.24688262  47.21297206]
 [139.39240024  48.64959658]
 [162.45390152  45.35104821]
 [139.30642844  52.33621387]
 [178.7204967   69.25982308]
 [132.04321929  74.04400745]
 [209.88520345 103.97019774]
 [127.19627127 104.35847486]
 [167.56651194 125.51672232]
 [132.83117999 118.58663515]
 [193.80438124 129.83941821]
 [145.42213491 129.50535702]
 [181.62971469 196.06358505]
 [133.57415043 191.31713742]
 [187.37280216 219.98303311]
 [136.70548783 214.77744875]]"
6,"[[145.59090531  51.14495335]
 [151.22261459  48.0322549 ]
 [140.08329202  49.07229021]
 [162.54969027  45.72242436]
 [139.90659635  51.78667805]
 [179.21403091  70.00989299]
 [131.78352657  73.52845317]
 [204.72877213  97.77325804]
 [126.24690305 107.21650446]
 [174.32070222 127.00377915]
 [131.34251796 120.475122  ]
 [182.47450605 125.49389083]
 [145.1667126  127.58738169]
 [189.39406581 184.21691901]
 [134.62487749 188.06100516]
 [185.91001954 218.10020357]
 [130.74836986 216.88716757]]"
7,"[[145.75737704  51.02437287]
 [151.20236583  47.96920532]
 [140.12145252  49.01321542]
 [162.72737719  45.61590466]
 [139.8546687   51.68511055]
 [179.13686303  69.92132348]
 [131.67210591  73.40174864]
 [204.60376731  97.75648676]
 [126.36806195 107.237282  ]
 [174.04655215 126.95883205]
 [131.79747332 120.32873763]
 [192.29304397 128.46453976]
 [145.27542827 127.50649406]
 [180.06373263 179.74881725]
 [134.9818275  187.4018141 ]
 [185.76942452 218.02466569]
 [130.86634614 216.5261592 ]]"
8,"[[144.48673834  53.74033382]
 [151.40933642  47.43559319]
 [139.76541741  48.097674  ]
 [162.85461038  45.15263824]
 [139.39067136  51.02663048]
 [178.8455143   69.55008569]
 [135.39948711  73.20412851]
 [208.42930608 100.27320678]
 [123.23903432 105.15755673]
 [180.12920559 125.84972109]
 [121.93620009 117.36532971]
 [178.25141497 124.58566666]
 [145.36253427 125.1997265 ]
 [176.74303059 177.01964977]
 [136.45152296 174.1042365 ]
 [185.07081803 216.76804779]
 [131.4785634  217.22540341]]"
9,"[[144.5275184   53.74141904]
 [151.3728752   47.33249553]
 [139.78034465  48.00606589]
 [162.93324722  45.01938317]
 [139.34405347  50.91248244]
 [178.94466091  69.37428366]
 [135.23374595  73.27530167]
 [208.30904122 100.14448574]
 [123.24613753 105.25759552]
 [180.07812489 125.83377131]
 [121.86050605 117.53165166]
 [178.51538381 124.30962832]
 [145.36229343 125.12932784]
 [176.93543486 176.85241949]
 [136.38062841 173.95214101]
 [185.03447655 216.63298783]
 [131.4353878  217.08740468]]"
