,keypoints
0,"[[111.99120734 150.55102119]
 [118.82426432 143.46464211]
 [106.82980715 143.39009877]
 [129.37013238 145.82849338]
 [ 99.77541467 147.65689417]
 [147.92682866 185.15172978]
 [ 94.00738086 169.5573536 ]
 [191.20581142 232.28325015]
 [ 49.14255126 194.45862012]
 [155.39423433 272.88204684]
 [ 67.14128805 146.88086316]
 [136.37222387 287.57861283]
 [ 93.22938029 281.62216244]
 [138.54797892 374.60696427]
 [ 94.41799309 370.53563191]
 [146.458268   452.88328265]
 [105.38015737 442.78253039]]"
1,"[[111.07340948 151.76735887]
 [119.8601394  141.6401373 ]
 [106.16486602 143.80156321]
 [130.77293913 145.67956658]
 [ 99.92445323 148.65323875]
 [148.51329391 184.37834408]
 [100.51102016 181.77006094]
 [191.59961009 232.1184135 ]
 [ 50.81174939 191.28076039]
 [155.94341985 272.5461331 ]
 [ 68.66090359 141.80844483]
 [136.38634245 287.37746177]
 [ 91.1438394  284.79972778]
 [138.93825413 374.23982989]
 [ 94.0980585  369.66051539]
 [145.81627369 452.52390111]
 [106.10658702 442.96836654]]"
2,"[[111.07236529 151.75969799]
 [119.80732043 141.69522513]
 [106.25686007 143.8490574 ]
 [130.82642171 145.72229982]
 [ 99.95034715 148.56855866]
 [148.64423016 184.26962732]
 [100.48177452 181.86021838]
 [191.70354916 232.11329435]
 [ 50.8275222  191.19401206]
 [155.86792817 272.77478759]
 [ 68.45691301 141.90855785]
 [136.52267828 287.14734564]
 [ 91.09860937 284.69599841]
 [138.85919021 374.50644844]
 [ 94.0519234  370.04705117]
 [145.87615813 452.64889005]
 [105.98943686 442.94474022]]"
3,"[[111.22571596 151.88797595]
 [119.9985454  141.97539776]
 [106.99440762 144.18492894]
 [130.85670811 146.65189507]
 [100.61491869 150.71644936]
 [149.23963975 184.08793383]
 [100.3199343  184.0142349 ]
 [193.2534428  232.52694095]
 [ 50.52377483 184.88655099]
 [155.60576198 272.07909087]
 [ 67.57261789 142.64871604]
 [136.7652552  288.02390278]
 [ 91.57607741 286.05304   ]
 [139.11656113 381.64328512]
 [ 93.43985121 364.21583607]
 [146.02488413 452.39915235]
 [103.98082394 439.35251045]]"
4,"[[111.34055653 152.31511487]
 [120.01601433 142.11527822]
 [107.00927912 144.53911379]
 [130.861701   146.81144171]
 [104.58445791 148.86041408]
 [149.24201941 184.09922204]
 [100.26103016 183.97951526]
 [193.19331379 232.41780559]
 [ 50.4651654  184.87949328]
 [155.36500793 271.61395358]
 [ 67.45238737 142.69393371]
 [136.37209197 288.25358727]
 [ 91.80712425 286.14363388]
 [139.01362023 381.79318703]
 [ 94.31201734 369.3676835 ]
 [145.88012606 452.40094405]
 [106.55433267 442.70419915]]"
5,"[[111.91006808 151.24179364]
 [121.81175899 142.48026681]
 [108.54063353 143.23044474]
 [131.55382067 146.70898115]
 [102.10157685 149.98399083]
 [151.47634074 183.33054658]
 [101.76664247 179.26057978]
 [193.3140197  227.37160335]
 [ 49.45406413 175.37288941]
 [158.9831585  271.5315476 ]
 [ 71.16454274 128.06707944]
 [136.21411594 283.58256389]
 [ 91.46941589 285.84087797]
 [138.76619318 374.59587575]
 [ 93.05011458 365.07753806]
 [146.02574971 452.538256  ]
 [103.59872709 439.48739939]]"
6,"[[111.81570948 151.23647274]
 [121.82312626 142.54190523]
 [108.63718287 143.24345809]
 [131.54062538 146.69425639]
 [105.05248425 147.16508582]
 [151.55949488 183.16339464]
 [101.64311037 179.25903271]
 [193.1522413  227.67556975]
 [ 49.22326597 175.4636466 ]
 [159.06613883 271.39219141]
 [ 71.12334797 128.155977  ]
 [136.21704552 283.7059615 ]
 [ 91.453753   285.80357404]
 [138.72025764 374.84635869]
 [ 93.14206398 365.17473502]
 [146.29826198 452.62795643]
 [103.47946587 439.46432736]]"
7,"[[110.91662053 151.35847596]
 [120.00659462 142.60089624]
 [108.2092075  143.79108782]
 [131.41393322 146.89829846]
 [104.68401068 145.8337635 ]
 [151.14454581 182.83708171]
 [101.49587922 179.93143318]
 [194.0323967  226.26672866]
 [ 51.4902932  172.35176353]
 [158.90409114 272.38715808]
 [ 74.10333613 120.20781461]
 [136.3418097  283.93744045]
 [ 91.3647878  285.58156072]
 [138.56728326 374.77805645]
 [ 92.92645196 365.12862286]
 [145.84750466 452.77969876]
 [103.87587709 439.75748555]]"
8,"[[110.85392845 151.46275979]
 [120.00681513 142.66418706]
 [108.2557359  143.772862  ]
 [131.37592599 146.90661811]
 [104.53466642 145.92545806]
 [151.34756775 182.68282097]
 [101.18341696 179.28699796]
 [194.03334197 226.23671232]
 [ 51.57154512 172.31083434]
 [158.83406154 272.55067309]
 [ 74.02285224 120.36699138]
 [136.33354547 284.0516181 ]
 [ 91.58348843 285.56724083]
 [139.02497364 374.79860579]
 [ 92.89608519 364.73900093]
 [146.45318581 452.83402421]
 [103.49948483 440.14400408]]"
9,"[[114.46828454 156.902213  ]
 [119.52232044 143.36177223]
 [108.93652059 144.75834931]
 [131.99950267 149.61736219]
 [102.13516825 147.22560709]
 [151.72382743 184.63972407]
 [ 99.69044693 179.02378783]
 [193.49226887 227.87554601]
 [ 53.79039247 169.13828385]
 [159.25806417 273.42026996]
 [ 73.16191548 115.88443227]
 [136.66587761 285.46153791]
 [ 92.87187916 297.88984797]
 [139.22308071 375.35783528]
 [ 90.7413966  368.10307217]
 [145.84836612 452.95817391]
 [106.1828227  442.52271907]]"
