,keypoints
0,"[[104.20311786 101.19473073]
 [113.47085704  96.74643504]
 [102.75991481  96.64576056]
 [126.45953383 101.53623843]
 [ 95.09969046 101.26026241]
 [141.27679745 141.35230978]
 [ 85.49379236 141.14097704]
 [143.87681292 202.02942877]
 [ 79.7226968  201.6487772 ]
 [123.42861365 242.75318354]
 [ 87.95310548 242.20332743]
 [131.61913871 232.64306095]
 [ 94.19840959 237.07184579]
 [145.88643453 317.36097227]
 [ 84.24571219 314.85475193]
 [165.17093293 399.80354596]
 [ 78.64353983 381.72814055]]"
1,"[[104.13966445 101.11467924]
 [113.44788367  96.74371218]
 [102.75465702  96.63404355]
 [126.42694349 101.51374188]
 [ 95.0679471  101.24852961]
 [141.22424881 141.36497319]
 [ 85.44373468 141.19926356]
 [143.8759906  202.12583315]
 [ 79.75282684 201.58873515]
 [123.37296231 242.77262062]
 [ 87.97941178 242.2188307 ]
 [131.56164048 232.69660659]
 [ 94.07773484 236.97031346]
 [146.12463069 317.50015442]
 [ 84.09910532 315.07811429]
 [165.37089511 399.75647546]
 [ 78.62982291 381.81332   ]]"
2,"[[102.9557314  100.24298927]
 [112.6050403   96.06825558]
 [101.89831331  96.03143892]
 [126.04911653 100.80003289]
 [ 94.9357192  100.59643977]
 [141.90693731 141.21874765]
 [ 84.88242463 141.09577805]
 [143.74483491 201.56699626]
 [ 79.48251348 201.4947616 ]
 [122.76760806 242.81154007]
 [ 88.48027117 242.0680983 ]
 [131.72101784 232.78026522]
 [ 94.52142952 237.38436396]
 [146.03435853 318.17031563]
 [ 81.09857873 313.32848638]
 [165.36375877 400.02166233]
 [ 78.84836463 381.68132466]]"
3,"[[103.1048369  100.32123994]
 [112.76063092  96.04242743]
 [102.03811604  95.94891575]
 [126.14534819 100.87842219]
 [ 94.82703342 100.59982592]
 [141.70702377 141.26059344]
 [ 85.01985569 141.16710818]
 [143.66956912 201.93943569]
 [ 79.54824859 201.62688184]
 [122.77239006 242.82786002]
 [ 88.335156   242.39535932]
 [131.86736499 232.6528639 ]
 [ 94.60687038 236.98962082]
 [146.23848429 317.8827976 ]
 [ 81.13567385 313.38228457]
 [165.26399192 400.05041441]
 [ 79.02647131 381.53627749]]"
4,"[[102.42566825  99.93424433]
 [111.41352805  95.34159323]
 [100.54469138  95.34414794]
 [125.71658392 102.12310611]
 [ 95.75100212 101.99909506]
 [140.9079474  140.39073586]
 [ 84.45163188 141.20309889]
 [144.00708098 201.11183156]
 [ 79.72879425 201.41906392]
 [123.32016311 242.53216005]
 [ 88.74807358 242.00308752]
 [132.34641619 232.28853641]
 [ 94.86011089 236.3959829 ]
 [146.83554402 318.06508282]
 [ 83.71451486 312.30159765]
 [165.62710504 399.24633283]
 [ 78.878512   381.36387208]]"
5,"[[102.35276815  99.88573193]
 [111.50022271  95.47932594]
 [100.66541878  95.49821879]
 [125.99107286 102.12795268]
 [ 94.38009543 100.67739168]
 [141.30226944 140.45691471]
 [ 84.3476408  141.15231145]
 [143.91425456 201.22877383]
 [ 79.73184497 201.36977053]
 [123.22108464 242.58737887]
 [ 88.76350444 241.81053953]
 [132.24360562 232.40806187]
 [ 94.82139978 236.59729068]
 [146.93910194 318.27865321]
 [ 83.5537949  312.61077496]
 [165.62074038 399.21406421]
 [ 78.96276335 381.52748338]]"
6,"[[101.96040595 100.58608161]
 [110.17651645  94.82950257]
 [ 99.35172611  94.86020182]
 [125.23223495 101.36862058]
 [ 94.91315266 102.10457013]
 [140.85947905 140.32998693]
 [ 83.38505363 140.77007524]
 [143.73442327 201.44662529]
 [ 80.12594377 200.30198721]
 [123.81667498 242.16804943]
 [ 89.95941381 241.84944663]
 [132.15310805 232.59412992]
 [ 94.82640502 237.38872327]
 [147.14228211 319.39429146]
 [ 79.55685365 311.1144975 ]
 [165.70939855 399.98305995]
 [ 79.13699698 381.11039262]]"
7,"[[101.8669238  100.54308423]
 [110.14997141  94.78224025]
 [ 99.29457673  94.78995499]
 [125.09836706 101.38024975]
 [ 95.00143632 102.12521096]
 [140.78910255 140.25448416]
 [ 83.35910717 140.76577907]
 [143.74311829 201.57423249]
 [ 80.07069226 200.46097017]
 [123.82254719 242.2758421 ]
 [ 89.96159956 241.94558611]
 [132.10008611 232.51499668]
 [ 94.79045475 237.42513639]
 [147.04596315 319.35689832]
 [ 79.46853401 311.009905  ]
 [165.736943   399.5720847 ]
 [ 79.06192445 381.48188359]]"
8,"[[101.39213349 100.82165992]
 [109.80395129  95.17605689]
 [ 98.80734764  93.93590815]
 [124.87002278 101.61378909]
 [ 94.22936129 102.28138357]
 [140.28446075 140.79220532]
 [ 83.02126879 141.11366171]
 [143.55993908 202.22739432]
 [ 80.48176662 200.94111717]
 [123.85939308 241.96496279]
 [ 90.39133143 241.88503208]
 [131.96901272 232.31270888]
 [ 95.05855171 236.92900435]
 [146.22541044 319.78528128]
 [ 78.63642681 310.64933493]
 [166.26166572 399.72782426]
 [ 78.86254402 379.86461613]]"
9,"[[101.36457837 100.98905404]
 [109.73300503  95.39982622]
 [ 98.77580286  94.15253046]
 [124.8651155  101.67914576]
 [ 94.33642907 102.38122558]
 [140.47946767 141.00384861]
 [ 82.97827481 141.22289695]
 [143.60776036 202.36072105]
 [ 80.48482134 200.84797815]
 [123.7759134  241.98441908]
 [ 90.29812517 241.83865816]
 [131.85721875 232.19888922]
 [ 95.04626419 236.7117678 ]
 [146.17059142 319.75489378]
 [ 78.61439871 310.70869344]
 [166.17314682 399.392837  ]
 [ 79.03932059 380.03150926]]"
10,"[[100.34505107 102.02353862]
 [108.75723021  96.485521  ]
 [ 98.13259647  94.5563731 ]
 [122.29570587  98.58090782]
 [ 94.06859201 102.81269959]
 [140.42161925 141.46576296]
 [ 80.7961615  142.54464735]
 [143.4065767  203.5551343 ]
 [ 80.89321282 200.92990184]
 [122.8557178  243.46980377]
 [ 90.28074578 241.51229549]
 [132.07622095 233.31251528]
 [ 95.27554808 239.15049025]
 [146.68516772 321.02731475]
 [ 77.65240995 312.16949114]
 [165.64388668 399.21581767]
 [ 74.46830865 376.03907588]]"
11,"[[100.39083454 101.92954997]
 [108.80526075  96.38365101]
 [ 98.16964495  94.47661466]
 [122.31621594  98.57974388]
 [ 94.08593741 102.78043165]
 [140.4674607  141.4667972 ]
 [ 80.73566952 142.58709707]
 [143.37876835 203.65987298]
 [ 80.60324903 201.01584855]
 [122.86241899 243.70137963]
 [ 90.10185011 241.57109399]
 [132.14894246 233.28764554]
 [ 95.25650007 239.39519757]
 [146.89251947 321.22573737]
 [ 77.53980115 312.4074042 ]
 [165.54873656 399.74480305]
 [ 74.03557004 375.84156534]]"
12,"[[ 98.81368098 103.90019656]
 [107.58134912  98.30870502]
 [ 96.50514133  96.30790598]
 [121.48753397  99.59993854]
 [ 89.59944229 101.45883327]
 [140.48747365 143.4872622 ]
 [ 86.38955555 139.97694169]
 [142.67877777 204.06121479]
 [ 81.37321961 201.9669449 ]
 [116.97875061 256.03424129]
 [ 90.68025299 241.73535451]
 [132.2489687  233.54202816]
 [ 94.767605   239.73640674]
 [146.49316154 320.38718692]
 [ 76.85901985 312.11120187]
 [166.06494218 397.40234293]
 [ 75.79664384 376.64771814]]"
13,"[[ 98.67071691 104.04029696]
 [107.50838104  98.39624667]
 [ 96.44170326  96.48339625]
 [121.50276692  99.6812432 ]
 [ 89.52531786 101.59476104]
 [140.51475888 143.52954721]
 [ 81.06185279 143.84480607]
 [142.69674891 204.12088487]
 [ 81.45527055 201.87769713]
 [116.90446975 256.03582525]
 [ 90.68529354 241.7763891 ]
 [132.24506917 233.65736452]
 [ 94.85032966 239.97954177]
 [146.46844057 320.57533442]
 [ 76.56085151 312.28672577]
 [165.90827585 397.48597068]
 [ 74.85292743 376.2093833 ]]"
14,"[[ 97.59344181 104.79159537]
 [105.61802876  96.73734136]
 [ 94.80268663  98.47600992]
 [120.84959072  99.99777478]
 [ 88.61320928 102.71416839]
 [140.54083928 144.0184763 ]
 [ 80.50424653 144.61774797]
 [143.42710276 203.68857873]
 [ 80.92207538 204.63070014]
 [118.57544398 257.57292867]
 [ 91.44774727 244.79580195]
 [132.05165874 233.66594038]
 [ 90.25707521 238.5692872 ]
 [147.49858875 321.20168431]
 [ 75.3356824  312.71820526]
 [166.48019945 395.97703976]
 [ 74.5256093  374.58442116]]"
15,"[[ 97.66293535 104.81770455]
 [105.6339914   96.73694846]
 [ 94.79280011  98.44858444]
 [120.82475846  99.97618276]
 [ 88.57621828 102.71338739]
 [140.42846105 144.01389532]
 [ 80.54340878 144.69321368]
 [143.41807054 203.55725768]
 [ 80.89986469 204.62691457]
 [118.44681257 257.54815364]
 [ 91.33535172 244.76984238]
 [131.99633227 233.71932818]
 [ 90.16752341 238.62090162]
 [147.63459508 321.16238328]
 [ 75.34672844 312.9921485 ]
 [166.77209442 395.7826436 ]
 [ 74.42122105 374.54796   ]]"
16,"[[ 95.28310625 107.2200125 ]
 [103.2839085   98.85224316]
 [ 91.46446793  98.76706097]
 [118.91392877 101.59858367]
 [ 87.39558734 104.20726216]
 [139.83407021 144.93692794]
 [ 79.91973954 146.02268723]
 [143.34617002 204.14021935]
 [ 80.07998703 207.95751761]
 [111.90861723 257.26016344]
 [ 92.10012448 251.77442955]
 [132.17780037 233.81931087]
 [ 91.53198246 238.55644948]
 [147.56818891 322.16226929]
 [ 74.7848533  313.28998351]
 [166.80669325 395.52727443]
 [ 73.10296564 375.6357308 ]]"
17,"[[ 95.28877854 107.24558363]
 [103.2314225   98.81429412]
 [ 91.43720752  98.79193757]
 [118.98927518 101.59924662]
 [ 87.38993071 104.20597811]
 [139.99571978 144.93477025]
 [ 79.82061576 145.90413492]
 [143.30289749 204.04486944]
 [ 80.22250463 207.58787412]
 [111.98946201 257.29481005]
 [ 92.09698979 251.90985298]
 [132.17227951 233.99955233]
 [ 91.49156307 238.52719847]
 [147.79678642 322.30282402]
 [ 74.64548905 313.31634593]
 [166.92734135 395.29637422]
 [ 73.02100599 375.58615328]]"
18,"[[ 94.48957221 107.51473725]
 [102.63691037 101.6405022 ]
 [ 91.085379   101.7643005 ]
 [118.55666052 104.36477166]
 [ 87.12363267 106.47944697]
 [138.60577408 147.01767038]
 [ 82.05252819 146.94315655]
 [142.43438022 206.41301719]
 [ 80.67540278 207.80370652]
 [110.91894541 260.03804579]
 [ 91.02608402 251.10462144]
 [132.33315308 235.56394672]
 [ 91.55431743 240.2355406 ]
 [150.72861414 318.67351644]
 [ 73.31052863 312.94324972]
 [166.95773661 394.85138169]
 [ 73.77048716 375.56544245]]"
19,"[[ 94.50413944 107.30069744]
 [102.64307579 101.34709101]
 [ 91.11213445 101.57969288]
 [118.49430866 104.2170754 ]
 [ 87.20906586 106.42123182]
 [138.46697226 146.95429777]
 [ 81.86687535 147.0112577 ]
 [142.43756155 206.34736936]
 [ 80.84339636 207.60208854]
 [111.00155345 260.1065292 ]
 [ 90.97370598 251.09245457]
 [132.1740501  235.741734  ]
 [ 91.50473855 240.43620739]
 [150.64851438 318.7105486 ]
 [ 73.35299216 313.12227232]
 [167.01460544 394.72166072]
 [ 73.782802   375.57445068]]"
20,"[[ 93.78207011 111.60551173]
 [101.72553373 102.09680752]
 [ 90.53965459 103.46405716]
 [118.86069375 107.10650648]
 [ 85.994841   108.47452682]
 [139.16592294 149.73240248]
 [ 81.15426739 150.3213455 ]
 [142.01639676 209.33956913]
 [ 80.79629344 210.02009878]
 [111.52238846 262.27705266]
 [ 90.84877168 251.59688316]
 [131.44871731 236.60246667]
 [ 92.91931709 241.16537984]
 [156.25555871 327.12086683]
 [ 70.10673825 316.93185669]
 [163.19947465 399.00553461]
 [ 72.71748322 375.88955066]]"
21,"[[ 93.87101816 111.70384047]
 [101.79579095 102.06101617]
 [ 90.58560699 103.41554476]
 [118.80178111 107.08578948]
 [ 86.06762049 108.33076506]
 [139.34217973 149.73737396]
 [ 81.12243007 150.22799647]
 [142.05259625 209.41982102]
 [ 80.60972232 209.99382764]
 [111.49898494 262.32261813]
 [ 90.80504868 251.32724845]
 [131.46925454 236.64653466]
 [ 93.0645822  241.22979355]
 [156.26057127 327.42057473]
 [ 69.91189459 316.77180587]
 [163.03106924 399.61605181]
 [ 72.73002263 375.60377169]]"
