keypoints,label
"[[137.43781811  95.18657802]
 [142.86568745  86.99761144]
 [133.9180851   86.71858169]
 [149.2215874   90.30105636]
 [127.31703091  90.07272005]
 [158.47691244 114.10614249]
 [119.64846784 112.64944858]
 [170.51248402 141.71623525]
 [111.94268953 144.72164228]
 [168.90413215 113.61661561]
 [110.52764784 144.47942929]
 [150.48401175 189.83895601]
 [117.51971625 189.49156251]
 [166.45839004 256.12269434]
 [114.48813335 249.49750717]
 [168.03951916 284.59086299]
 [111.91892258 280.32519519]]",squat
"[[136.29564597  95.18196565]
 [141.78662421  86.90291419]
 [132.43979943  86.87431236]
 [148.44254746  90.07647136]
 [126.25049018  90.68399788]
 [159.75904816 112.18088206]
 [119.71583243 113.01046768]
 [171.5620954  141.74135562]
 [111.36417231 144.38175208]
 [169.99533085 112.46672666]
 [103.60945786 149.50863914]
 [150.07959455 190.17190719]
 [118.04570766 189.88528033]
 [166.16552724 257.09476679]
 [114.78434024 249.07250573]
 [168.13354512 284.17798881]
 [112.05697233 279.7059583 ]]",squat
"[[136.33078654  95.34779271]
 [141.92094714  86.78685094]
 [132.66817963  86.85002713]
 [148.59312127  90.18970714]
 [126.57373893  90.87335145]
 [159.67352422 112.4414845 ]
 [120.14227259 113.2291412 ]
 [172.1970913  142.32567972]
 [110.98510209 144.17273725]
 [169.95496523 112.94380424]
 [102.87082158 144.93297012]
 [149.77017734 190.25547915]
 [117.58325251 189.70975501]
 [166.64816693 257.87452958]
 [115.5174118  247.54758726]
 [168.259104   284.46152143]
 [111.18877589 279.43871909]]",squat
"[[136.63220223  92.17529942]
 [142.2883774   86.73344977]
 [133.06067808  86.80222153]
 [148.97227174  90.20839237]
 [127.0835744   90.90004521]
 [159.95964594 112.85416968]
 [121.82483495 113.07634989]
 [172.23613699 142.75248244]
 [106.45678604 143.61596729]
 [170.86041426 113.13204906]
 [103.91728673 147.58337973]
 [150.14639187 190.16419512]
 [118.33434782 189.87237251]
 [167.0198067  255.98316292]
 [116.08527725 249.75089289]
 [167.62579745 284.43653684]
 [110.91464799 278.93145913]]",squat
"[[136.59268473  91.92844199]
 [141.93533747  86.230736  ]
 [132.56065211  86.37669131]
 [149.72801861  89.56015416]
 [126.7573911   90.74274012]
 [161.08916872 111.97165776]
 [120.81977656 112.63567697]
 [171.68223692 142.71250286]
 [106.66933544 144.44134038]
 [168.95035027 112.65900527]
 [105.05446281 148.55434412]
 [150.53824766 190.5563027 ]
 [118.7700323  189.68998662]
 [166.53142311 257.44974409]
 [115.92314061 253.75343372]
 [167.74215145 284.84041416]
 [111.30208188 279.71673733]]",squat
"[[137.06315905  91.66734351]
 [142.36179648  86.32716153]
 [133.25813827  86.23264542]
 [149.83956955  89.59529996]
 [126.81228005  90.10259062]
 [160.23891345 112.2793603 ]
 [121.67274613 113.30984782]
 [171.5221158  141.68775589]
 [106.71757357 144.15386609]
 [165.69015681 114.12623633]
 [104.492482   146.79409778]
 [149.68684498 189.9976107 ]
 [117.48443524 189.21249011]
 [166.17478054 256.38355947]
 [116.34603814 252.52753066]
 [168.69843695 284.57637632]
 [110.99687764 279.01040439]]",squat
"[[137.59441667  94.60695568]
 [143.43494099  86.58587978]
 [134.49631627  86.02055374]
 [150.48230305  89.94110472]
 [127.27302373  89.43084774]
 [160.23522883 115.44703414]
 [120.2807132  112.0268261 ]
 [171.85871737 140.83512683]
 [110.28398959 144.78194973]
 [166.59945631 114.71097459]
 [102.91945403 143.86153244]
 [150.072079   190.21758673]
 [116.49783021 189.11185306]
 [165.80204568 256.68934268]
 [116.3096105  253.00226039]
 [168.77071736 285.22435457]
 [110.83473996 279.74879195]]",squat
"[[139.45254986  93.95468164]
 [144.32293319  86.64717623]
 [135.34231957  85.91921051]
 [151.33926629  90.05773735]
 [127.7151598   89.24543038]
 [159.81776509 115.47905601]
 [119.99144697 112.10096589]
 [172.39639717 141.60525584]
 [109.70292106 144.60744923]
 [167.7598971  114.20960291]
 [104.44863532 124.99462543]
 [150.17283188 190.25302422]
 [117.28503114 189.59100621]
 [165.37657454 256.57006067]
 [116.14269744 252.5946188 ]
 [169.04997415 286.16724625]
 [110.83349475 280.45929513]]",squat
"[[139.44013855  94.04164533]
 [144.47496078  86.68789031]
 [135.25311742  86.07123798]
 [152.32110908  89.85364056]
 [127.09295638  89.51771181]
 [161.16784796 115.71003487]
 [120.22372952 112.04106714]
 [172.79643123 141.57611534]
 [110.04833459 144.67169971]
 [168.20327976 112.97042499]
 [104.21049681 124.36867058]
 [150.39910351 190.396484  ]
 [118.01780661 189.73884024]
 [165.57632402 258.16861948]
 [116.14625079 252.54175942]
 [169.20541259 285.93991771]
 [111.00749653 279.4440779 ]]",squat
"[[140.62183789  93.92711658]
 [145.38576768  86.80795083]
 [136.1307913   86.05211063]
 [152.48875475  90.96228285]
 [127.52854955  89.37349262]
 [161.02804896 115.68439936]
 [121.25148328 112.09206319]
 [172.82214901 142.38454   ]
 [107.9972787  141.37858743]
 [169.36834167 112.51801951]
 [104.89519327 124.90165202]
 [150.64474096 190.10122054]
 [118.12833717 190.19629272]
 [165.60186574 255.86329583]
 [117.1791006  249.34405983]
 [169.31628904 285.24559741]
 [110.1577486  278.75292485]]",squat
"[[140.17083064  91.97632878]
 [145.24457586  86.92770125]
 [136.11490171  86.14329879]
 [151.80264567  90.86782543]
 [127.56560983  89.40149982]
 [160.22343581 112.06601113]
 [122.78393325 113.61444861]
 [173.45022221 141.94042178]
 [106.62114435 141.13343985]
 [170.65795246 112.12490349]
 [105.00360696 124.50043568]
 [151.09812751 189.59943948]
 [117.96221896 189.51668629]
 [166.06025632 253.98627391]
 [116.86636732 248.45796718]
 [169.08980157 284.24028313]
 [109.59080909 278.42572753]]",squat
"[[139.7975894   92.40476357]
 [144.6793658   87.18399051]
 [135.65393043  86.41599472]
 [152.4196856   90.30126037]
 [127.18735591  89.63207817]
 [160.50975607 111.94014421]
 [122.28959583 114.09811178]
 [173.20241049 143.41179341]
 [106.10387219 142.25305737]
 [169.29509277 112.63621087]
 [105.94475069 124.53810976]
 [151.00496628 190.06461837]
 [118.5008299  190.00012362]
 [165.77462473 252.32251447]
 [116.62754464 249.12598742]
 [169.33410111 282.53820999]
 [108.71947195 278.84247856]]",squat
"[[139.73512679  92.34799318]
 [144.62235307  87.15436216]
 [135.563619    86.43664907]
 [152.28777475  90.27867544]
 [127.26971562  89.58125611]
 [160.18500753 111.85948637]
 [122.33180229 113.94661855]
 [173.26062968 143.59971209]
 [106.12263892 142.32087971]
 [169.37901591 112.028131  ]
 [105.83937255 124.15805848]
 [150.35470478 189.93086776]
 [118.71731694 190.03737808]
 [165.21337116 251.99962316]
 [116.39545162 249.26387005]
 [169.50227668 282.01125875]
 [108.70984784 278.55361306]]",squat
"[[140.65213667  94.34998923]
 [145.17646414  86.92255122]
 [135.99138013  85.99128565]
 [151.76448407  90.94273212]
 [127.25657725  89.03570868]
 [159.61225184 114.84571454]
 [120.76386862 112.52758575]
 [173.50612047 142.32372014]
 [110.60166809 145.55255363]
 [169.32892379 112.10624112]
 [105.67223742 124.53472826]
 [149.96218074 189.26923525]
 [117.71517027 189.40128829]
 [165.14229982 250.7995569 ]
 [115.86725618 248.19561191]
 [170.23979642 281.53201964]
 [108.33048292 277.80588476]]",squat
"[[140.86788202  94.70334334]
 [145.67793871  87.125033  ]
 [136.26893997  85.96068502]
 [152.41573274  90.82410755]
 [127.35698838  88.75638929]
 [160.65320951 115.35116503]
 [120.64572151 112.30631265]
 [173.26305508 141.85951081]
 [111.12502933 145.04560002]
 [169.64245435 112.29122453]
 [104.73164573 124.86278255]
 [149.91487651 190.09972971]
 [117.90392782 189.6056232 ]
 [165.02047675 251.82083779]
 [116.23990042 249.18401597]
 [169.67107763 281.37833758]
 [109.53424049 278.08239647]]",squat
