keypoints,label
"[[213.18645041102928, 113.94966169107481], [218.29377489625293, 107.4184112390213], [207.60371729638624, 106.79509932186896], [229.43812992865233, 99.65079536433032], [201.68511089317022, 98.02431686008795], [243.5252532641754, 133.23309349976557], [189.84451512041312, 129.77316126754033], [254.48692662800178, 183.64370786226715], [176.80739860772593, 178.67029233682678], [228.69332044882984, 178.64701752851016], [195.14179279303602, 179.4191239529489], [231.99389593021291, 235.0814173970054], [196.4032672299169, 234.9440724339158], [231.54697150549623, 336.3921002885656], [193.49743571449963, 338.9757750187991], [233.694867879586, 399.2892342644769], [194.1879380517591, 406.22051490815414]]",nothing
"[[213.1357807627339, 113.7782342716463], [218.1977749862195, 107.38631742164152], [207.5794888137532, 106.65118074714519], [229.3906189547755, 99.75507115778706], [201.65935784516364, 97.95221407547315], [243.26159602143414, 133.23534338922858], [190.0081783223301, 129.72563418430005], [254.5214859214989, 183.09392354096792], [176.47673236109364, 178.0864592649337], [229.54593800209665, 178.200820875267], [194.35754932633557, 179.22439595022223], [232.00491448697827, 233.9844169586959], [196.1045954182837, 233.58141836901962], [231.5451934035256, 335.7549377885529], [193.6848728671639, 338.6166645930364], [233.5724676968898, 398.05871359771606], [194.14695583113516, 405.9060908652641]]",nothing
"[[213.3781885158991, 113.88737050014822], [218.4207265937155, 107.52411790796229], [207.71539533460464, 106.73829225393443], [229.45561924496215, 99.86658537617097], [201.58574152389338, 98.01960673005071], [243.32625553662467, 133.26570163955313], [189.74440509217197, 130.15406146614566], [255.17011432290823, 184.16557589588444], [176.0557059686546, 178.51391552391766], [229.25102661156606, 178.05230344903197], [193.7816539574066, 178.98963047907904], [231.7794285048566, 236.52694527671642], [195.93563967088159, 235.31540044875752], [231.58739336810837, 336.34134389754394], [193.949926419962, 338.76522216876185], [233.74488819661607, 398.6189243947146], [194.2695203293386, 406.0342197854405]]",nothing
"[[213.57712180599603, 113.80555773475315], [218.52679857345234, 107.35442484738674], [207.90455990670378, 106.66930353319323], [229.4838584634222, 99.85081430935067], [201.67538232466288, 97.97002855308834], [243.194868559649, 133.36646773711064], [189.72676211731846, 130.1157077979645], [253.99594990974157, 184.87710120028618], [175.258861510025, 178.69373170848698], [229.18339950379118, 178.39557663566606], [194.1141774897268, 179.51305095966046], [231.90285968681385, 236.57113003879476], [196.1617018725421, 235.87915951893385], [231.3984907590426, 337.13050096793387], [194.10837068379297, 339.6133677627342], [233.67782305778934, 398.3497288147774], [193.9009098401932, 405.57264339899075]]",nothing
"[[214.27228495385694, 114.00246868014584], [219.1290805840443, 107.51344161321121], [208.4145278296203, 106.867309419628], [229.60849090822026, 99.82745176696233], [201.68057251373102, 98.14078210545182], [243.2018545709876, 132.9145315655056], [189.8445835232487, 130.2226583576004], [254.29971004969863, 183.70407881707015], [175.98017932471515, 178.58706095610242], [229.11382514572938, 178.03595120594557], [193.8627886425185, 179.6381111700173], [232.42469091673158, 237.6802364159027], [196.24141125074297, 237.1552377133756], [231.44574720497687, 336.4324656444875], [194.13024224263467, 338.6849727551308], [233.46697627382815, 397.5725000464743], [194.35515968814462, 405.3796388503172]]",nothing
"[[214.45686058789926, 113.99214679139072], [219.08968550747497, 107.5698050540599], [208.51573825130345, 106.9232168415728], [229.29851825420675, 99.85590424861086], [201.80491325513242, 98.21609858415727], [243.13979337220383, 133.05878178013214], [189.68035327173817, 130.422259071017], [253.94770211836405, 183.7146604383314], [176.1938559042441, 179.5152795042169], [228.72327742110667, 177.91426355278665], [194.30493366693509, 179.18941434356628], [232.26234025618143, 237.33467916936738], [196.56259800441052, 236.44112450169428], [231.58484610599194, 336.10650704952883], [194.116707403298, 338.42826583529217], [233.60393907324936, 397.05097080516225], [194.08203955747481, 405.32223747078945]]",nothing
"[[214.02154593358665, 114.07267279040046], [218.8755866147872, 107.55874114324051], [208.17793927420698, 106.96548434156391], [229.48578514329114, 99.92275747960423], [201.7279370163186, 98.13316064168411], [243.32000906898674, 133.27509943945742], [189.8808727145443, 130.17683167963168], [253.21269877982985, 183.34365733695873], [175.1102112435006, 179.11651873043323], [228.51236694320076, 177.97285504251906], [193.88846696786229, 179.31622725266678], [232.46161828665626, 237.91894545921915], [196.76360295864748, 237.814870049205], [231.3659146521047, 336.79204819851753], [194.23503538674973, 339.1117905876493], [233.66646038023697, 397.1033183056203], [194.23519697605698, 405.6505695945756]]",nothing
"[[213.96596416861996, 114.11239699365692], [218.7290310611844, 107.80722633964555], [208.13960493726196, 106.9669718554015], [229.48935150852324, 100.04149302995131], [201.7762613891316, 97.93419860256934], [242.92588184380483, 132.76553528844195], [189.6674360406126, 130.0162079428437], [254.27347310119757, 182.4824715850259], [175.67509573859138, 179.0644909388806], [228.66152081321036, 177.61028630817756], [193.7396367721399, 179.20519953705914], [231.98959299531649, 237.87928519774377], [196.46553933744372, 237.7068456146177], [231.2293154286248, 337.513142960483], [194.02335042021627, 339.66398090433927], [233.74437344049466, 397.1433775836366], [194.4187247579658, 405.8457962440602]]",nothing
"[[213.46047712710694, 114.06303493000118], [218.29411393639452, 107.73127341716553], [207.75815702029922, 106.92445057097692], [229.20437885173394, 100.02418066880313], [201.7236700176945, 97.6623081120037], [242.9731154887939, 133.0531247448091], [189.71809974083536, 130.15439108850555], [254.32526495253472, 182.30631941321488], [175.2246035855426, 178.51944326610922], [228.24412819749352, 177.274130981826], [192.93402535008295, 179.07684706848525], [232.27678731920318, 239.0928075120256], [196.29061717749138, 238.48485004877102], [231.45240520489193, 337.4471937048708], [194.0571577781947, 339.1544561128359], [233.79390254585758, 398.7533457251944], [194.49390988340002, 406.2666952486098]]",nothing
"[[213.7707404931717, 114.19791937370063], [218.44997723236403, 107.84410885118893], [208.01793413697558, 107.08174437842102], [229.15725623743452, 99.96399596302524], [201.72471563930077, 97.82859131600902], [243.07251967907945, 133.20032002214583], [189.78623590449536, 130.32253789802598], [253.835738572658, 182.66923908384328], [175.7678014077169, 178.89495897193956], [228.83405878737167, 177.76264817204148], [193.70526533860428, 179.0401573736306], [231.96663560341898, 239.04530422107595], [196.47558934971102, 239.2037638507613], [231.67947151556828, 338.1303085358872], [194.02685036530366, 340.123260343397], [233.6507069097983, 399.6091200011684], [194.4074179675128, 406.2408132017774]]",nothing
