keypoints,label
"[[147.00247096420574, 159.9959211884814], [154.02481511328176, 149.86895721816225], [136.4980209889878, 151.06837417380478], [167.9474749832788, 145.4519293660186], [125.1196038450372, 151.86097963931903], [193.9648714481917, 203.9627250663456], [117.20859384834148, 206.8856481207136], [215.53390883606338, 276.88931824015975], [96.68902374354818, 286.3534423764679], [185.51928585631438, 276.0488426858819], [124.50830653898434, 286.3746809612441], [177.98538366623083, 354.0624263628605], [128.36248810226854, 353.86585842299115], [174.1974874246641, 465.1420515441102], [132.49188667771227, 465.246561194408], [173.14521587316312, 520.3054610508148], [125.68628961479838, 520.7395097569963]]",nothing
"[[138.67926548027944, 160.46915530167104], [146.18520280675432, 148.4925087673005], [128.41692486324825, 150.93662337305145], [159.99469142445903, 145.4965369369285], [118.2495729838984, 152.06965388974132], [187.22928933443004, 204.20862632085283], [109.57285272356378, 210.83517332334776], [209.57155188007317, 273.88793366366764], [89.91104550272412, 273.8034472396121], [178.29605150123643, 277.15343943256846], [113.32190705931856, 287.18738595562024], [173.15458458327456, 352.05131855923025], [118.48794596110957, 354.718737691455], [174.6964315862517, 471.47295727799195], [127.31066810861695, 458.2456422199083], [175.53750888721365, 521.4239049106527], [126.91439462055041, 522.5372314453125]]",nothing
"[[129.45316660676826, 161.04995188247142], [135.55117183812195, 149.04119467784858], [119.12685223775694, 152.11571774710737], [155.06765996096289, 138.3853087554107], [111.08986404482393, 145.5275293695208], [182.54241824397923, 206.2082632663592], [102.77020113383907, 208.19496761488568], [203.75004231062354, 278.4584227817718], [86.52667146710498, 277.3150911945811], [171.1517371655502, 282.65428840494457], [108.59284529814849, 291.0417915629746], [163.95366018378562, 355.6320216204669], [114.44158910961508, 357.43523040581147], [174.97917024608464, 475.54544896940683], [123.46972844209097, 477.9731885311262], [177.65930437496448, 523.2851282226817], [127.19715657700125, 524.2569679529901]]",nothing
"[[122.5647708234569, 161.96206651953304], [130.86996603904296, 150.4906358936968], [113.58189632391979, 153.38156376955664], [150.71110814623924, 139.61579794695373], [107.04081618612373, 147.37160042269068], [181.26271519492423, 205.85587069299268], [100.0194110425495, 206.04278491093564], [201.77609509093352, 281.868282326046], [83.20933022766748, 273.62353390318935], [158.07310211435427, 283.84817960108643], [98.11702228137709, 289.10048835738536], [160.32945837151732, 358.5422068772346], [110.1965517611117, 359.134698360229], [169.52376132695443, 472.2982900306242], [123.18132820843164, 468.17645684597153], [173.36102235837689, 521.5874332895894], [126.08919569955299, 531.485091623794]]",nothing
"[[118.52596306751276, 160.89052965636066], [125.94650391481524, 147.89627098987603], [109.29676797434595, 151.70094079634256], [145.2030332569273, 136.37054858733117], [102.83295404390586, 145.88262236787475], [176.4725964679044, 205.68020973284874], [97.87336332634433, 204.72462410242792], [194.22590806925373, 284.9074996186889], [83.13185658127752, 276.0526772100564], [150.93393286151849, 283.181307469485], [94.51632935886819, 286.85057237589433], [156.08221180969366, 357.0354653990938], [107.56924296119358, 354.1902157472226], [161.17492683712015, 478.43179881200973], [121.61541778183778, 475.5482733125746], [163.8358134985466, 524.1611861389541], [126.47054051658964, 526.6337246012539]]",nothing
"[[111.20712137519695, 159.3739396569139], [117.90037254285912, 146.99774918585953], [102.19540913238843, 150.08331881739247], [141.79551923597182, 135.0940724916121], [96.34792903852562, 143.98522585196704], [171.51877042409538, 205.27756189358212], [95.59831599435788, 204.56247171096643], [186.2876836574499, 281.6946184312975], [83.9361480268768, 275.8265671759782], [146.5459345779895, 284.4979609372462], [88.25221825042534, 283.6687777989124], [150.38982498422732, 360.0829202766974], [104.84226924713833, 355.8482063039673], [145.9560205931475, 475.75934364493327], [118.15926637074557, 471.8971138436681], [156.43596649169922, 521.208215899874], [126.92061927858857, 522.8080075396817]]",nothing
"[[105.11257147838569, 158.94002825207622], [113.01850975179376, 145.80337916986858], [97.67323199527924, 147.36045274318133], [138.31559238711415, 133.46281464902876], [91.1764493851057, 143.18950657041555], [169.1281522881712, 206.79219497712387], [95.44427925236756, 203.42244328679266], [182.9745853765095, 286.73538299211594], [81.83333878705507, 279.5410354519089], [136.15879645714395, 287.40113093798476], [87.49448137818652, 285.4401475426561], [149.41948714226547, 361.7585230765868], [102.24352953587649, 358.16078473525334], [138.3524307837853, 480.8832196336774], [115.45706290960808, 472.83240663286557], [150.50632690937258, 520.1727595497814], [129.21915133628926, 526.8799311901577]]",nothing
"[[100.73359834181296, 160.21756421999228], [107.03841068640568, 147.00533099580952], [91.788219562935, 148.719171972136], [133.27216953348966, 136.33911203198028], [85.741118433074, 143.15123072285166], [163.60811062017748, 207.83289306624764], [93.83020975981334, 202.5770598290616], [182.38030451499003, 290.8701212639125], [82.27414053839607, 273.71838434818136], [126.92546993184239, 289.4061340363754], [85.18321697528546, 290.15204019209455], [143.2348189879356, 360.23525289587076], [100.1289842840044, 356.07441249855344], [134.1070001189773, 469.5868858924279], [114.92374582746669, 466.9624433200226], [130.40662803174058, 523.3625185960544], [136.00135964811963, 519.7060559246992]]",nothing
"[[94.62688568971757, 161.10841152325986], [101.2210963669537, 148.02754098808938], [86.35843618000372, 149.80919594080683], [128.90102263547774, 135.6392662639182], [82.89835904095625, 142.3069097395994], [159.1119731538261, 210.3495191387724], [93.18365921845307, 203.51380568284256], [176.75608458489242, 294.37689077333704], [81.86221767116238, 267.3221223071806], [117.54068267568482, 291.12386653923943], [78.53611690338833, 291.7411704073329], [137.39915300555637, 360.66498825802876], [96.61473033334015, 355.17220685486984], [130.90126033632276, 461.3244389793729], [111.32144134902161, 462.2760453491846], [127.7480948243964, 516.5007049972946], [128.4240110004766, 512.0080563233945]]",nothing
"[[91.55102529545584, 162.6291788045681], [98.21453795859324, 149.88637714029102], [83.30443098738387, 152.21919834985556], [125.54659417166285, 138.01837760544618], [78.89458146759478, 151.82937752927913], [155.37241243770862, 211.35545718694675], [92.47745743908159, 205.57686940548078], [170.05979890882847, 301.04898588573116], [85.68385336354469, 273.03567497745127], [113.52883257637897, 293.64862065305334], [76.55982614307047, 294.16124587743053], [133.4404686384538, 369.6604240956773], [93.40074106957958, 362.98678372357347], [130.06099916049698, 460.9842409463038], [112.08016460997648, 464.6793945291682], [125.68700140082663, 514.3801744663294], [123.77342216190331, 512.6218349670918]]",nothing
