keypoints,label
"[[204.30942037744978, 218.03060440412432], [210.97900565101799, 211.148835021592], [199.13728293534874, 210.0519717607082], [223.14681729259215, 214.6416860409933], [189.8330333574894, 213.3531243290574], [233.91741625732297, 255.10924273865635], [176.32890986801434, 251.97727615768846], [246.92488311482072, 282.62099307688754], [146.96782542365506, 275.3720630479206], [263.8340665496065, 258.5202448085539], [136.93026668564445, 248.79606746586347], [219.15101707601252, 341.26350835058645], [171.59572410980036, 337.859632071735], [244.59480694078854, 402.5070431822303], [146.31079437826875, 396.8813625046221], [228.08653946478006, 464.7880847141798], [158.60552549857857, 465.1130497331679]]",squat
"[[203.3484847035081, 231.25206618695648], [210.327524157423, 224.28812058700595], [199.26566291375866, 223.3184677647454], [220.92606372000523, 226.74577548449352], [189.29439374166319, 226.18738529340146], [234.58729290912655, 268.48897591945786], [177.485081361386, 261.58808026145255], [258.9741893221088, 285.5812219473032], [149.64032718396732, 287.7417740851579], [270.18659625380553, 268.11657774721016], [132.7205639247339, 261.6889828703756], [217.2859374302093, 347.42981876999823], [175.79924391114042, 344.8744672747511], [245.59481575186686, 405.3518152534342], [145.35159925908906, 400.54148621469926], [226.81315178187128, 466.5161874338892], [159.23347393836897, 464.88961038371383]]",squat
"[[198.404335430407, 239.55959490579778], [206.05130255098405, 233.77497280461873], [195.958068118026, 232.1957652757173], [221.49443775105627, 239.4404406359191], [191.08735895454265, 235.1523660076879], [231.1463694314699, 273.04627493860323], [172.57520413943985, 268.1412582833653], [245.87168366398487, 299.96989689101304], [151.51684001676756, 299.1959255444285], [265.94295217936354, 275.63554581386387], [137.7407954289363, 271.4963554096817], [218.14012626600365, 350.6308216562886], [172.88705663225014, 350.6032632443117], [248.9202473614667, 406.99538272532504], [143.61745255404847, 403.7263150522466], [225.98994744790568, 467.3077913926694], [159.70930636796535, 464.49370158685224]]",squat
"[[208.03929168320497, 249.64069279216682], [215.60274191557, 243.43872863388856], [199.918093930411, 242.14038234242778], [224.22752955351453, 249.13563202919437], [188.36658957594398, 246.08630598706665], [232.4865787230014, 285.76359084638887], [176.66119002502822, 279.7645719532164], [249.2870610369962, 312.5433317093245], [153.14163735403588, 309.0428612088463], [264.0144564753511, 283.49061319585155], [141.24183099631708, 280.80755261522324], [219.72651491541873, 358.1550958994273], [173.22076135266596, 358.59307479461864], [249.58930640111595, 405.9488758475766], [140.88783789573242, 404.70904570359454], [228.25249713572546, 468.2074993415087], [160.514530173954, 463.71268891495134]]",squat
"[[206.83692597054147, 258.44944589103335], [214.41177122310393, 250.90979835843348], [199.1863588719259, 249.47242082528416], [222.62147954992346, 255.10463397369068], [187.87599948240666, 252.7991382099239], [232.17473722792963, 291.7129398631455], [176.74067411997711, 288.77188609196594], [249.66938629467623, 314.49589164242184], [160.0034509527956, 318.6708517728873], [264.6960644612937, 292.09200458566266], [138.22299031358747, 296.7935832771095], [218.74239538910484, 369.9326569721753], [171.80759098822264, 368.4580189770324], [254.85528977645907, 403.75080475440393], [137.87827273664257, 404.5363419269078], [229.27189889420097, 467.6130535448911], [160.86932229896593, 462.426112000511]]",squat
"[[206.44777777784827, 265.21849353447277], [213.8242374586712, 258.4330287148204], [199.9326677617313, 258.00750012705083], [222.6626560742543, 261.12556308817716], [189.06086646097862, 258.8938566354605], [232.008159160614, 294.13005963680405], [176.45861948850003, 294.29623837778325], [253.03896549090032, 319.277015892235], [152.39476661920054, 322.7014819202701], [264.26209816070207, 296.243411339742], [135.59480342944298, 299.3683175279676], [220.4725856344814, 374.08112339567], [173.71389325591977, 372.9932109927933], [254.42077712061004, 405.48617676241236], [137.29320742236354, 403.8286813827166], [231.31927482303612, 466.3894514779787], [161.02258480016508, 461.5058413166514]]",squat
"[[206.98120589067932, 270.1053542555494], [213.93939412805, 263.449145206047], [200.86832601662238, 262.66970827772815], [221.83694462766272, 266.13972189481876], [189.7365962641155, 262.7314202750795], [232.3225599068862, 298.2078482108404], [178.0468669106212, 296.5290536503782], [253.6500982336096, 324.0000889355824], [157.54492813237243, 323.75418371569344], [266.1189301193086, 300.35898789546593], [136.99440078775007, 304.8876471925922], [218.14361679330935, 377.55639240796256], [174.05626828358228, 374.5473120167945], [254.99273387409298, 405.88283637952907], [137.63923803634802, 403.5599970272326], [230.88049653166297, 466.9884033113904], [161.40092831887227, 461.40154681929437]]",squat
"[[207.85858527042762, 272.91884392561883], [214.60806852566725, 266.6077483716477], [201.830298142225, 266.07972487280625], [222.17460481639714, 269.54638957977295], [190.69959814979728, 266.23152959278616], [231.4181285687643, 302.9919746264103], [177.31876928444464, 298.5272872844506], [253.75792489478098, 324.7526004259899], [157.88582605532451, 329.2681442229019], [265.5325351658581, 302.7699826413034], [137.13592501539205, 307.4684792397672], [219.15618000308095, 378.6170091054048], [176.7001191692392, 377.6179579340247], [255.8232850691385, 406.30539241798704], [137.60112923049135, 404.03596527115474], [230.25557107588358, 466.0768399863134], [161.76071583357273, 461.69601681326634]]",squat
"[[207.64139635399326, 273.8386137321932], [214.68792635784826, 267.48608576284875], [201.55741977592518, 266.60329704473025], [222.0874477077175, 270.7790495700004], [190.19981134458294, 266.9822025323856], [230.77665718578254, 304.777083426652], [177.86568663472198, 299.25714118750824], [251.39219894726412, 325.6784818772219], [157.5439526484563, 329.06055252170364], [265.2870692359187, 302.79782879129516], [137.11376621420814, 307.4991256927998], [219.45471277851573, 379.2776198991867], [176.133547404204, 377.3208695489007], [255.72456292451793, 406.88449776346124], [138.15695084553994, 404.2505082866011], [230.7744033619173, 466.18246437358266], [161.36256225887308, 461.79011557057595]]",squat
"[[207.23820426607827, 271.66736646402404], [214.28946893577023, 265.43260165906497], [201.04561179194778, 264.7395622209799], [222.04718322119447, 268.7647925097333], [189.65012219244628, 265.27105739607384], [231.75198422152388, 301.10625318578775], [178.18918941918133, 297.01758323241177], [254.285379159971, 324.49870545750105], [158.65286967858455, 326.82107937311184], [265.83454998020324, 302.8228605115736], [136.67336000969902, 305.96146563730224], [217.13736647132035, 378.00438438780344], [172.9778663532154, 376.1360521376009], [255.23990405076756, 406.87304574090086], [137.92926407653428, 403.440636061829], [230.69601073830142, 465.9333154714033], [161.68745689233475, 461.42073232765756]]",squat
"[[206.58618744594392, 266.43207768392665], [214.40659144316297, 259.7892547099853], [199.74990783882737, 258.95735032840975], [222.33971736535213, 263.14057902338106], [189.178021682771, 260.4454213021451], [232.04998185629657, 297.2884002197805], [175.85123700560254, 295.5991257748832], [252.8977096700371, 320.80677294185904], [142.51519042588075, 323.20318003949905], [265.27008092081223, 299.79678498979916], [133.87770117444458, 299.034039499606], [220.11409628663887, 374.19337591857277], [172.94650910549998, 371.97298418707265], [254.86286068160916, 404.7229314792181], [138.15178395308973, 404.15456983998513], [230.76241105609031, 465.5368469361208], [161.0345686795558, 461.3719323568681]]",squat
"[[207.10589930322217, 258.583051499111], [214.65154298873554, 251.76100919251633], [199.88946009450544, 251.07861259127358], [222.0924123656973, 257.8097623995585], [188.566569726829, 254.28171911259452], [232.02242982610596, 293.2398795090198], [177.08222038284904, 290.71113324710586], [250.88913574535982, 313.73119949055314], [157.24985812657093, 314.70026543631127], [264.7914730337702, 295.5885218483495], [138.83535133330093, 296.25567155667505], [220.74310992710804, 366.5555219888192], [174.16885092451767, 365.0972320855036], [253.2887052349638, 404.3602368440053], [138.51359430816714, 403.83403960483736], [228.70642008751693, 466.8745238666971], [160.2229487127673, 462.78459738297175]]",squat
"[[205.38656131641287, 248.5367096883096], [213.48785015748595, 241.66213449965892], [199.35461415632352, 240.70612903444288], [223.47873164313748, 246.7833933364329], [189.61210112066132, 244.67898406506578], [232.67174371190976, 282.22254953364575], [175.9370627373519, 276.71645832656577], [247.07465657573235, 310.10007957410915], [155.7652251388328, 310.7575339239997], [267.1596357083866, 281.2646282933606], [141.4915419913627, 279.4919083371232], [218.54153789750256, 353.0440836091547], [173.37415074608182, 352.93678037837736], [251.0844010573167, 403.3653874902864], [141.50450978110587, 402.704419812145], [226.80713877608525, 469.75519032587385], [160.06448660471833, 463.2763865088227]]",squat
"[[193.30361479285355, 234.95515939351677], [199.6656689490821, 228.13942625715927], [192.74492323274674, 227.27908612288954], [220.55891596106136, 233.74123205266227], [190.5200575592612, 231.22623383131446], [231.62171969542632, 270.81005786411976], [176.8645348023476, 267.00039607571466], [246.2452146962378, 298.73647691058517], [148.7874062789949, 297.5298565291566], [267.8395773665573, 275.22829813174053], [127.89159207730681, 265.7259339912022], [217.14147857221894, 348.56177268553677], [174.88427172083865, 346.87195200930023], [247.12455297458197, 403.4336198144544], [143.44585264051284, 401.2247584218047], [226.98077788719766, 467.18445711472924], [160.68106431227466, 463.99195253725117]]",squat
"[[200.4646634733355, 221.13972542935252], [209.1171260683056, 214.40292643905926], [196.14285738701136, 213.38304511722558], [219.26526963834704, 216.70057669498817], [187.03355511607847, 217.51643813325563], [231.65927954374382, 262.4624494207624], [176.1532761698701, 253.68626251537935], [249.41160773041344, 286.0692335513426], [147.71341633152318, 285.21269027012056], [266.0982864657165, 267.36435126861767], [132.3685518421403, 257.6215093695944], [220.12409697947038, 339.3548199144074], [174.83588514109908, 337.03869296210723], [246.3418441106277, 402.2100313785418], [145.08776456551345, 396.8941064981314], [226.5641550512175, 468.5495851441382], [160.4042068092838, 464.0702685794315]]",squat
