keypoints,label
"[[220.02482562947424, 102.73962085311477], [227.38081105285772, 95.71891341536556], [212.7811566707746, 96.41793264916434], [236.36437701584148, 100.51022869633539], [204.1343631466808, 101.11582217246233], [251.76382758761147, 146.91145058233377], [192.53876055600492, 146.71130091137798], [261.34917939279285, 202.7093149768092], [177.01371048195696, 201.5542427616159], [280.8153089019712, 158.67022367624136], [163.89388973648485, 162.65910901051797], [235.97653739913338, 273.1807613571072], [195.41624033525432, 274.14398282580464], [244.3729993459341, 361.10293840420223], [192.31315462108464, 359.10646682469616], [256.3034977585759, 444.74779692112537], [176.29835561010793, 440.9173927782975]]",squat
"[[220.19645924875493, 102.07646304505283], [227.3719122404864, 95.02993452821602], [212.9018172900543, 96.03539598706854], [236.32792573956593, 99.73384707143798], [203.86312756369864, 100.79452866328234], [249.31193191147645, 149.47078431222644], [192.17051091660088, 146.1379314906384], [262.2011880121211, 201.77577290366446], [182.5398962611716, 198.91528391788506], [279.40122996942915, 160.27570167351166], [164.46601935582945, 163.15478371483374], [235.9354701706377, 271.7880969731575], [195.54477124600797, 273.07223431038017], [244.8213749764615, 360.522531422161], [192.08580292683877, 358.44950071243636], [256.23306068214214, 444.88843215974106], [175.82414155194766, 441.0842838009777]]",squat
"[[220.1449945414141, 101.42965710832276], [227.33468920178325, 94.60833513811076], [212.77887955029146, 95.36631885536495], [236.23711453158248, 99.1921619417266], [203.641135082919, 100.48651565137376], [248.11527981827513, 146.60211808964021], [192.34837464631968, 146.1500982732634], [262.1912812492704, 201.17692218748795], [181.6427930724844, 197.8325535254766], [278.5338800315302, 160.0488079808606], [164.27068378226426, 162.38952352202608], [236.9018213168995, 271.7461863575259], [195.90495975994023, 272.46358092262443], [244.3755966709954, 361.13289785484267], [192.06835921241935, 358.8022556225624], [256.1746724182256, 444.91505672431043], [175.95089696301244, 441.62324263003666]]",squat
"[[219.7491007386523, 100.93170689446019], [227.12016700459122, 93.95902072565472], [212.4765975063903, 94.7232251355653], [236.4361843795142, 98.8493618747053], [203.4051688446077, 100.03031306975598], [249.16852883638316, 146.25612365976443], [192.15219630520954, 146.46012074238547], [262.5112484002064, 200.5682691095277], [181.19715553807123, 197.27656102725723], [278.8542937835884, 155.92015557874018], [164.03285331884692, 162.0259909520774], [237.06820650556728, 270.8865198424849], [196.2172563755091, 271.4949154804254], [244.1281211599243, 361.1153847462422], [191.64844758793123, 357.88742172494995], [255.651280686662, 443.803636546938], [175.83500868069655, 442.56152531709097]]",squat
"[[219.85483466959298, 101.06036531702149], [227.11959400692504, 94.24061140746436], [212.73346502419074, 94.87702940704918], [236.29115054116676, 98.92815258547571], [203.4917732782027, 100.18299092497995], [247.14257365204938, 148.3096967368017], [192.15663356741354, 146.56382638054927], [262.26440933290985, 202.85523259961928], [181.17422076124166, 197.69244667398212], [277.8559841385998, 161.22966248875102], [163.77071134761565, 161.27753703856916], [236.31873101057977, 272.3408444259866], [195.7682708196977, 273.2515404477189], [244.5461824381426, 361.7796181641101], [190.5149253639015, 358.2186763351028], [255.88208672410485, 443.29741491845147], [175.59591003862093, 443.56388262552434]]",squat
"[[220.1174341467463, 102.52448823496607], [227.17284164904558, 95.62833393437947], [213.06639451246997, 96.74130878924333], [236.02062426584922, 100.81176252226325], [204.0425353139453, 101.6725761479003], [249.3447266100846, 149.451795090261], [192.26662730972387, 147.0564427841726], [262.4474947269146, 203.99501120474136], [182.94361673620784, 201.5102240498993], [278.35136441331895, 159.88346543976274], [163.67469755874603, 162.44028759597495], [235.91460383607546, 274.63546661725906], [194.54885074353766, 276.08095038209785], [246.52129944545564, 361.2623561692585], [188.95047122376377, 358.39205472236364], [255.432696947189, 443.1643773513128], [175.81955657927261, 442.0286662365444]]",squat
"[[219.0358643720155, 108.75750281954507], [226.7939558643809, 100.82611423024517], [211.3738337574283, 101.30474324533697], [236.2529973726015, 105.75893762949352], [203.3978589111455, 105.30822341506546], [249.36907603686168, 155.03887228063635], [190.26657548614946, 147.76082544465572], [260.60979430739945, 210.7446139171069], [178.3142615256835, 204.01347848333094], [279.4771263852189, 164.92606659193297], [161.64486125700193, 162.22495348686488], [235.27705049812175, 278.5382597956985], [194.28075574291967, 279.9112950441991], [248.60843452247414, 363.1645713675295], [183.8870841599304, 361.70797734647186], [255.96753970996755, 445.3339120702288], [176.1916273596877, 443.34937529851396]]",squat
"[[218.7091972129013, 119.45030347225325], [226.4308210717913, 109.99513812471577], [211.2516355613661, 110.53796022696704], [236.93362789193708, 112.42558604218608], [201.72645792891728, 112.35366888700553], [249.19187700426258, 162.99627798758524], [190.94398958519443, 158.67149111139057], [264.02416843882224, 218.53071438795317], [179.02038498876496, 214.84361319432884], [278.9876723735595, 177.8310252326442], [163.4982834239016, 170.3452221321217], [235.01848901879515, 264.5251498152957], [194.1118785596439, 286.7379852739045], [249.9873514234896, 365.3139136189483], [179.9474515934744, 364.02219942850286], [255.26190894557138, 441.52694135098847], [176.19329282003233, 444.1994282411191]]",squat
"[[218.93719080332164, 131.35189065814268], [225.8327572360604, 123.31670733350727], [210.723606315819, 123.24465733803731], [236.20211359369037, 127.54760016522636], [200.6129936591999, 127.49941928966626], [248.41528672438403, 174.31955178909143], [193.54731129509497, 171.2229013938666], [265.991190576194, 224.63683774714164], [180.07477008875097, 220.73232805406727], [279.68791319278074, 182.35611568617475], [163.58579816044988, 180.91040192919314], [236.68741485928797, 290.83323825669635], [195.2049479415164, 290.0786429581672], [252.3932228960763, 371.9049967252291], [175.01191636876604, 370.78960868772003], [255.31330723276756, 445.90864954768006], [175.90378624485834, 444.8600886021731]]",squat
"[[222.39771999589124, 141.82006197511035], [227.80951492008202, 134.9617183332384], [214.78508415935937, 134.73526987860953], [235.6750303395325, 141.24535126398607], [202.87854681391727, 141.11803425572768], [248.66499276270244, 184.545410893811], [193.07727922768703, 182.51764452135242], [266.2315447572735, 235.26513997829383], [178.92951628274582, 231.34701328812915], [280.5554881660953, 188.22993161524656], [162.8785762866173, 195.3657669733567], [236.35712780228772, 293.05302427613066], [195.38402953911225, 293.4198860319142], [255.7161384709412, 373.4138869446182], [172.7872702782962, 372.40359490725706], [255.17865278121093, 448.1998144217192], [175.5963452392705, 446.2995667963167]]",squat
