keypoints,label
"[[222.2723157886656, 91.31483228687438], [227.1959469372914, 85.00897810017989], [216.34455976268111, 85.19427642505036], [233.7298221622832, 91.15404894347003], [208.54224187172872, 89.3788208832612], [247.45504970114345, 128.09836740553257], [191.26356763304395, 124.3116305424617], [274.44852761568006, 94.85653780106448], [161.60934828918838, 96.62727085319726], [275.2807184960887, 52.03438796521225], [169.1123395848423, 53.69209995388737], [237.0740559393552, 232.1028514860078], [204.42515946227647, 231.60535332566735], [241.5869102160797, 309.6803577922734], [198.99779366108584, 315.05524046455747], [224.84256869294293, 374.5875973215718], [206.00394300512366, 378.63031990067134]]",ohp
"[[223.24659621145523, 91.3878994027691], [227.83941637701403, 85.23213987290984], [217.2282163417761, 85.61675910394554], [235.20490458998017, 92.28477210364075], [208.80381332365738, 91.05888473764527], [247.36030582578664, 124.70463358191097], [192.38196192560972, 123.28039434992102], [270.3578258998181, 87.48259018959475], [171.94005952307688, 91.51678124980967], [273.2612244056813, 47.16925412850172], [170.44980610234822, 40.76682455574401], [236.85052265992036, 232.0904652442853], [204.94107149247074, 230.346815006153], [242.14290630792632, 309.96010556290406], [199.5669158249164, 314.7198583876517], [214.39859425947228, 375.68969389505054], [212.3787735207413, 376.8678811880259]]",ohp
"[[224.4793392268635, 91.81982762104757], [228.67790924040543, 85.20691013137913], [218.56048746565028, 86.19086212031311], [235.68297845162374, 93.37621320062269], [210.2498086227449, 91.96554945313262], [247.79072620764592, 121.93270681305884], [194.03181998001068, 121.42474041659223], [268.84129984215247, 80.09476968999216], [174.0284372516085, 87.54991741537305], [273.3959294158555, 38.717130613426164], [171.0534750052153, 37.721533289570324], [236.53763396328551, 230.86095996309467], [204.61463135146303, 227.67443270296664], [241.69079429642326, 309.9101774410002], [199.32489208644742, 314.59617317342463], [211.79483734892213, 376.2430222763093], [213.36636969552467, 376.90307890798846]]",ohp
"[[224.05943801150255, 91.71792920562682], [228.10808288828005, 85.33376665967914], [218.2560383406102, 86.20806097240805], [235.29731632518175, 93.33897430039245], [210.07118601808926, 92.2027972532657], [247.56523972985156, 122.07635078509485], [194.01014867294853, 122.09139246950527], [268.51171713608966, 82.1406766927168], [172.10562263853586, 87.56520792748974], [273.6589591369312, 41.883724395054045], [170.972998077805, 37.952397816394324], [236.5366564966785, 231.80585988098272], [204.96282359418652, 229.46454333664227], [242.2071296311218, 310.3627553848616], [199.4869304809278, 314.68166581310504], [208.40066088956013, 376.1282671018351], [214.084321892435, 376.73835397510175]]",ohp
"[[223.6304491324633, 91.24681508466757], [227.87909051732564, 84.75874466608568], [217.59403966320775, 85.73592279160593], [235.62336513257574, 92.69294173702629], [208.24276434408654, 92.27560067127251], [247.27273235202085, 124.32177498038247], [193.59714623052713, 123.81019512977521], [269.5624944821713, 89.50913026774005], [171.75671960112956, 92.0963431098605], [274.17616338591074, 46.17902196618475], [170.96056759729208, 41.040608887860785], [237.54669227124253, 231.05601362279944], [204.58080961897568, 228.74519259914788], [241.9699779914967, 311.8729997821261], [199.14297037709528, 315.93975158342454], [228.80110894320165, 375.40429545539337], [202.98256943478654, 379.497438855082]]",ohp
"[[222.56911470092012, 91.36539586120733], [228.31813015214124, 85.13910408575174], [216.83401773972224, 85.33482045988532], [234.83320940556993, 91.78153244224755], [208.36977056554846, 90.31386980147967], [246.2025343008696, 128.31453226212406], [191.79702548623828, 125.13231537198327], [271.92158114141836, 95.90590743661672], [163.1356160506885, 94.56984317724026], [274.64328139338824, 52.82962743556921], [167.2355881475857, 51.285367002110476], [237.2997203636566, 232.56504746335958], [204.71309772895924, 231.50673638758195], [242.23029142605787, 309.92520128119264], [200.2880928917883, 313.9716761027949], [205.8726229439654, 378.0027367716768], [244.88319230426623, 372.9577674191608]]",ohp
"[[221.93831168192588, 91.30739422201367], [227.5003108066234, 85.10031472124825], [215.98043263330283, 84.83285368604125], [234.74437531215486, 91.25939426699696], [207.7530406864666, 90.27881384391547], [249.0838193596029, 129.0281319568658], [192.27730905687488, 129.24192154977524], [277.1494611633047, 103.2200129760774], [161.30508008469167, 100.75962208908463], [274.6930112462034, 58.120259624013286], [167.8071264913325, 56.151390075683594], [237.2500311560046, 233.47756334748934], [204.6606570420295, 232.71140807817486], [241.7955983453382, 310.5835954265634], [200.56199321132192, 314.22018162178153], [203.07276997397696, 378.1993602268909], [245.21061387726274, 373.97469205321]]",ohp
"[[222.8717566032172, 90.93125099451775], [228.14576591126885, 86.1058601966271], [216.90629772733504, 84.81815798119052], [235.31985828137945, 92.11945880723347], [208.23798407635917, 92.07714025295202], [249.44527283032076, 130.57187119045773], [192.85731008295707, 128.6259113874852], [277.7727041819487, 113.03199403251284], [159.01453480155453, 117.72688808163586], [277.1275098011548, 73.23528079629688], [164.75557190464838, 70.44801667425588], [237.8873448361974, 235.7279448895841], [204.65461429588018, 234.51494340341455], [241.981074121043, 311.41631469409333], [200.31246858921963, 314.7828831742063], [204.0184282711291, 377.45785564493985], [245.30432873604948, 373.5172218195862]]",ohp
"[[222.45265143824716, 90.61852413502652], [228.3469094060315, 86.91212045427667], [216.71166390242547, 84.80511187515735], [235.9574036885696, 93.0259490459228], [206.53814040201866, 93.73455632501233], [248.7507659531433, 131.602881108401], [194.48080677500386, 128.95355601320645], [280.1062758400138, 127.78439492049188], [159.12168982618812, 130.30617028908523], [277.0684850934637, 83.58340749125966], [162.77043685595856, 89.22190576977641], [239.19572899594377, 236.20702620603439], [204.60024445071787, 235.0153253876494], [242.7323761700097, 312.70795750766683], [200.2675969486673, 317.8163457065511], [210.16888410286697, 375.69678498900606], [211.4992488694538, 377.62504902798025]]",ohp
"[[224.486300454566, 92.00007008415746], [229.68765628560914, 87.18404353532375], [218.0162715317058, 85.9601601741418], [237.45269636602265, 93.78753184280872], [208.62904308739422, 92.8754538855285], [247.10702598714533, 131.1551952064657], [194.10443900776505, 131.23684439986263], [277.8928483102525, 141.3663930555887], [158.82152827019007, 139.05141804669356], [277.65563124182813, 100.61898647871435], [164.49732579709092, 96.88355446853163], [238.39597196440192, 239.53134304768332], [203.8773424660094, 237.54047157858614], [242.81731464758732, 313.757597037016], [199.79780035678166, 319.6482162713509], [207.04837053580493, 376.2962396823939], [213.7780159773797, 375.9249758571696]]",ohp
