keypoints,label
"[[368.9508205144173, 146.99979928823618], [384.2989818469898, 133.8062238048863], [362.75925532200233, 134.51268085570942], [419.627023090196, 134.57984004843507], [355.7029048023502, 135.79849492983115], [426.5731203828681, 228.85728278923432], [388.2116656789165, 223.01874240074238], [442.0738130993754, 368.3617640433837], [374.4250186515697, 322.95838710919736], [352.42388897774873, 350.0341308339966], [334.06316317044775, 327.31238670507736], [405.71795332704414, 458.14501123963674], [367.3419210122678, 444.1617204344942], [408.37291174271996, 521.7341821555536], [371.1701440712023, 520.0530863105631], [407.26021719078017, 543.0368435358059], [372.92652665453494, 539.8398139620522]]",nothing
"[[362.76253964945585, 145.757403542247], [378.8806276856738, 132.24989163404692], [356.14882487021464, 130.2970057961351], [413.655937337578, 133.04912347516932], [350.2395812290374, 128.27719571436765], [424.55376904620454, 228.8368273673583], [370.9081572455329, 221.74683529225308], [435.87382221420194, 372.25989145449444], [349.1389369766331, 317.48269253609834], [345.5970153491363, 350.44592978304985], [321.5487613003864, 318.0060456051896], [399.68364442584425, 462.75341733825434], [358.6114022935007, 460.52527725076976], [407.6513926849048, 522.842068186421], [363.785798733051, 522.1296139913388], [411.84286863045486, 544.7735023101998], [369.29431700161246, 544.519261857824]]",nothing
"[[356.3452579871037, 143.25495618792434], [371.95548594865386, 130.373598136426], [349.91201888498796, 126.30893386079468], [406.61317444640736, 131.88353521660312], [343.3965298341367, 126.86717039334305], [418.60447703181086, 230.9298827593639], [360.0881283099835, 226.0315938699766], [431.0704459767332, 377.35764747349987], [344.7408596839826, 319.7877907703424], [340.62333067340813, 349.78321337154654], [315.9855844573023, 328.56771901342825], [390.5928516586209, 468.6759507086074], [344.5129354877432, 471.6870854153703], [376.8080663780165, 525.2567437978892], [354.9372024694748, 526.2396826317802], [375.1858376167916, 548.6231702776809], [370.24320733274595, 548.6617296500415]]",nothing
"[[350.36056304424073, 142.01686486384975], [366.74147658437306, 128.04497552265002], [342.8968302673213, 126.19508081067377], [398.34254199402744, 130.9858223504683], [336.49612935318027, 126.01308366612933], [413.6473235370216, 233.439278268021], [347.6888038016655, 222.1846094746104], [427.910397305558, 379.44426506819696], [337.8590962495229, 316.8224772891483], [336.9918181841686, 353.3190620168579], [306.73173856834364, 338.7774142306956], [382.1902780671625, 469.94346590894673], [335.2848110476551, 451.0168662438026], [367.42648723963146, 518.1366272131272], [330.70542311717963, 520.563466633184], [376.36179438251963, 536.597372836234], [336.17964207258643, 536.557647641632]]",nothing
"[[343.7838822045594, 139.40355534860845], [360.11220412541826, 126.13493191725004], [335.95927267213375, 124.34205989084225], [391.3092638003851, 128.29181905100103], [327.7483184719284, 124.42460526051988], [411.1550553177102, 231.05238343970444], [335.3952474257059, 220.69982381967398], [425.4478283087082, 378.68800827470494], [326.43241842670403, 315.33875237383614], [334.83981615292555, 352.5489363006148], [297.8197849218166, 349.4577100519827], [381.98755188939975, 454.44988361763114], [322.51199020417465, 453.69119901914854], [366.43975607570644, 517.1424901411093], [299.63346947131686, 523.6669131970951], [373.42100430922795, 537.7193458858499], [297.67723204935913, 539.2785815835742]]",nothing
"[[337.1555953908115, 135.26027118341838], [355.48019111776057, 120.5762002671335], [327.19096522817, 119.92043021315101], [384.1116552293425, 125.28970087888088], [316.70234307429894, 120.9926595311155], [405.97245400759886, 228.3293264075773], [320.099733475588, 227.0574624226148], [424.3272604912582, 375.11197445050595], [315.2411464841847, 317.4328328170301], [330.58178957683384, 354.34926621879214], [290.133392984307, 337.2724081027533], [366.0489855926647, 471.7684267960071], [310.51524017556045, 448.7696843930441], [341.1183614988585, 524.4008756229139], [292.8358318899873, 523.306469907384], [342.5872905834301, 550.0193653384266], [291.561198581529, 550.207530634319]]",nothing
"[[332.4843903465231, 133.0214164485059], [349.85370893736143, 119.18643309024169], [321.3175656641843, 117.79457020908285], [375.9103168321003, 122.46021758493912], [311.1636861694082, 119.87993969986692], [397.68866937522336, 225.0342899449402], [307.66375000412404, 224.5362831004692], [423.2836057143499, 372.6253901102935], [326.7959794978342, 326.6353666658461], [331.4563202015328, 357.6498829649293], [291.45453476856255, 342.77668812170845], [358.2419372645832, 477.4639760134374], [299.7789419800229, 465.43506506574874], [303.0225891085524, 522.3323302556472], [284.6625817788614, 522.7338866235808], [303.16609652275355, 548.6754260786854], [270.0459525887535, 536.4557849146472]]",nothing
"[[325.05216221799475, 132.54882509891803], [340.5823137556937, 117.78721839127572], [312.868726972235, 117.70711867080658], [366.4834215586498, 121.14292073398519], [298.60492214839326, 120.14090147434798], [388.97238253555776, 224.3528911328861], [294.0647398855483, 226.70843001462814], [419.30431536478216, 370.2177550341632], [297.48202609421065, 319.1843072490732], [328.01791040416566, 366.8300614783273], [279.71058129768613, 348.79304961206515], [338.87399556483155, 478.15454724920517], [289.6516516401961, 453.0194395545119], [335.88220374252097, 524.6055924223268], [273.9270333192948, 520.7728189638896], [336.1328076919746, 550.955131990746], [270.60333805123884, 542.6248245080643]]",nothing
"[[318.041377156787, 131.46518273066087], [332.9056789808115, 115.49212977197216], [304.26400218337096, 116.4645603441647], [355.515330348342, 119.35543865275235], [287.9312905848894, 123.35118930205982], [381.424107819238, 223.96411717309775], [284.33766037907276, 224.32299611969947], [415.6759067781254, 368.00401572626004], [281.5525011312441, 314.79131060181936], [324.88492868546393, 369.05177764733963], [267.51000891108527, 346.94814781141383], [330.43733604732523, 482.90548304758056], [275.86398947511543, 465.136096841828], [328.95061801228354, 522.311040120908], [264.0567559462327, 523.6718818204566], [333.6475725729104, 546.1176755274656], [263.82722007013905, 550.3102498837668]]",nothing
"[[307.784780395254, 129.1598210463653], [324.4844776676995, 112.6234784195676], [294.82008910228706, 111.93469160559768], [340.6951011094631, 114.36004400748969], [274.00160728026333, 119.41018669620127], [369.14325751782457, 226.83671655873005], [262.41820269959385, 227.77878221999583], [404.4282366976669, 370.44462245616], [258.99515528688806, 321.6366629094939], [321.8614296704965, 371.140613377466], [251.54570680646046, 347.19354050570865], [325.7032625392668, 480.22814054746885], [267.9525265574703, 467.99780598797076], [305.9754822705243, 531.7031578809457], [262.3405399540606, 525.86327273236], [301.06600530430086, 557.3561503832652], [265.68656902675076, 541.9510030449056]]",nothing
