keypoints,label
"[[197.75047049453008, 225.45343178969165], [203.0421991110344, 222.20309707578156], [194.10157649779768, 220.68793064839133], [208.43314628839, 216.25298224467002], [182.8280942603605, 211.31302859332112], [218.7823238095226, 237.73052538754789], [172.49844921849623, 235.58905268409399], [229.90111997370414, 280.80368438530365], [156.2667299457003, 279.2705250381184], [233.11963491529042, 326.76683741151174], [149.80993251047116, 320.53231003378636], [211.6579285778276, 311.9918293863721], [178.34601432023078, 311.5369009624648], [214.4070900899209, 369.48823086189384], [173.8578995647153, 369.7241500112966], [216.27368550290686, 418.1782738334672], [177.81741802509015, 425.2106117359566]]",nothing
"[[197.67180624226276, 233.87081031987674], [202.9618069436595, 230.90220365107928], [194.56611105905006, 229.08659784313053], [209.35687106761023, 225.4525371004291], [187.35586927735136, 219.56503168213146], [218.90980488545188, 244.446753464221], [173.4605043692797, 239.47087940208135], [229.3321236255511, 288.29711093228474], [155.625996619401, 285.3040100383164], [231.78968335387614, 331.8212256610022], [152.44063617285968, 327.4872962253753], [212.0422593273393, 316.4163597408303], [178.53460093793652, 315.4016274672288], [212.7885630125811, 367.1637731381613], [174.63394856998184, 369.0828977156578], [218.55797242226078, 417.78208262707244], [177.26872021839674, 423.9829880284173]]",nothing
"[[198.5005346008745, 240.4293438996694], [203.64121909944532, 236.58801760842053], [194.76860823601547, 235.75839902160075], [212.0180635591059, 230.6202199008014], [187.50547916626485, 227.66794385136785], [218.6383566588721, 249.3731544320152], [174.19345661409184, 245.4117985128613], [230.1270971674929, 292.8177834548475], [155.83228370999598, 290.4258220458477], [234.5916480135769, 338.9992233125683], [153.4116520951047, 333.6539956859145], [209.79671418790758, 315.83658721987274], [177.69290900279975, 316.0538346256883], [211.44095180931805, 366.5042540635488], [174.31206762666764, 368.9708940204613], [216.69370270568467, 417.6776523153896], [177.4663360103996, 425.1163104963402]]",nothing
"[[198.03029187255987, 254.6093667123521], [203.07825880585986, 250.78602392311652], [193.945401919359, 248.47809341494113], [209.7035713354416, 239.11942711986774], [186.3391215984638, 235.92873050864176], [217.96467398407555, 256.35211730449464], [171.62636362341487, 248.94572394801278], [230.1100752705596, 300.46583163763034], [156.6474184920535, 293.8719549198904], [234.8962355552245, 348.5493491444419], [151.62644614300956, 341.7732333938694], [212.81228888307442, 320.8047763721363], [182.58419056692145, 314.5702385852838], [217.23917269161487, 367.504773169694], [173.87247283840378, 367.38291525295523], [218.44054160643518, 419.95443970646534], [177.56106699826566, 424.0980475459426]]",nothing
"[[198.04637955033112, 258.21741008956815], [204.20335186742201, 253.59829646881803], [193.9722178135989, 252.04873332858335], [213.63211768580575, 243.11371404762824], [186.8573454462317, 239.82415179452877], [219.35130553533037, 266.5261283609823], [170.07325716672966, 261.35444046306014], [230.16424436826966, 313.37621355750707], [154.51060511218287, 308.79953844383704], [232.56021645113734, 358.74267576142313], [153.88858739650672, 349.3555469473286], [210.50022942112787, 317.87547648820464], [177.49568380090156, 319.75940260222944], [213.294087725221, 367.8214946556488], [171.332619046471, 369.3929157237253], [218.49502793468707, 418.7985566946177], [177.13667300535587, 423.1790197614325]]",nothing
"[[201.05572946354158, 276.93146330898867], [207.26266274085413, 273.99086704373116], [197.06141750430862, 272.6615446768779], [213.11154236664643, 262.5739782614916], [187.52674947409523, 257.2605337273802], [221.17617125322815, 276.1502672381808], [163.7049313642379, 265.97701039420843], [229.92356006915753, 320.5408197430712], [160.20152573773868, 316.4446864455257], [232.87572272958354, 364.9085400753854], [154.88675131371514, 356.24491895806517], [211.43866576672593, 328.12440420138864], [177.52954023047943, 325.73487902381567], [218.11978584019906, 370.1121762487844], [172.1186632921691, 370.46489051374726], [213.7010092546935, 408.90169242811305], [176.85485332274885, 420.95455360016064]]",nothing
"[[200.01713965638018, 277.34923313164666], [206.07067740632692, 272.86400220002554], [194.45027531804266, 273.65993957757456], [212.64700582270316, 259.67134408296516], [184.09341090434307, 261.34682098198334], [222.20877649382595, 275.64661517708316], [165.25945197519792, 275.20923654155774], [231.33616598628913, 323.1967561210268], [163.31066708554846, 328.6772619413983], [233.8934834434684, 368.64084315151285], [155.4950141113662, 366.9865786905348], [213.74913015385428, 326.9644517164964], [185.14822030017876, 325.6491935674465], [223.03841565106367, 366.449391395783], [175.37196411164535, 372.66294376270196], [224.12410644880205, 400.4761734028616], [177.10516408178762, 417.10537634867393]]",nothing
"[[200.9017494760779, 286.32713206840407], [206.92636069537699, 278.05363661038405], [196.33934354088163, 278.2462500732803], [215.06446513217603, 268.67381996027893], [186.2207827102122, 268.24665466118256], [223.8989619851856, 289.19111220108005], [169.94573420645543, 285.3638972165431], [231.53864346026384, 334.2971660491087], [164.12468288643694, 334.8351342762335], [233.47503516877268, 377.7866482486844], [154.88397852051037, 377.6403930727509], [215.22609904997068, 332.3221670119034], [180.8498911946826, 334.3856654395185], [219.5220112552762, 365.6290650925369], [172.7780834800736, 369.9701149597485], [224.35764760832282, 409.13471610531246], [177.26272753519228, 419.0182051390967]]",nothing
"[[203.27485103369256, 293.3297315902869], [207.79419341850678, 287.6613363158926], [198.1995108221772, 291.0229956533706], [213.02567400704305, 277.1958402685217], [191.4747688230011, 285.3683324960562], [221.283989983636, 290.6513273592055], [171.40223281051414, 296.60365462551], [224.14957213054825, 329.5548998144709], [161.72290492702174, 344.676419256135], [229.1074081666752, 373.4992249344094], [154.38358600323016, 383.5412201911149], [222.56658875273072, 329.67277425738234], [195.59289561487782, 324.8631676616391], [225.14815290851556, 356.28039128071555], [176.0440507202783, 376.96408928060237], [225.63970312011466, 400.299667072891], [178.80325158767542, 418.54218484953884]]",nothing
"[[202.48202003708997, 296.26201542400275], [206.96480903704796, 292.88541799771315], [197.36924885216473, 294.3453962242777], [210.62559793991755, 278.2686772812429], [187.96223662251495, 287.0788366036207], [221.89324115269397, 293.0748814604635], [169.67060635342668, 301.19042448591046], [224.08757536921829, 337.6684506073315], [158.601281548736, 353.4721624330771], [230.2701061827725, 399.25522512897635], [156.4223345005091, 392.2638422238356], [218.301005769916, 326.3867466464608], [185.66739088284498, 323.677400045732], [227.73552783561595, 356.5520367850385], [179.53073160564082, 368.41658395937725], [229.6085008216747, 400.94964209316674], [196.35546356129797, 409.31287773433695]]",nothing
"[[200.9359922825423, 309.3959011307873], [206.02808177099408, 305.60333862621917], [194.90923950924943, 307.2907359585197], [213.86956276368204, 292.1080896611521], [185.18814178117844, 294.39193245774743], [220.29093843487843, 290.7375416983686], [172.33708494666215, 296.53120164811736], [222.83368992954183, 321.9533829084305], [160.65730126632724, 350.37996367456515], [216.42718642268508, 336.61103917754366], [156.63927954596443, 401.6256642192912], [217.01528029729326, 322.5099212662346], [181.15616736937463, 311.59026607902035], [227.12406497487407, 359.3847568218525], [191.90078961378325, 361.6489972493257], [230.78743633262334, 410.92361779322005], [171.71231228199917, 413.01017590719056]]",nothing
