keypoints,label
"[[231.80388536869614, 175.2956662009511], [239.53898632105077, 168.52991744535134], [225.61307558150898, 168.3624934505772], [251.14438241336055, 175.20442474904527], [215.91654735890347, 173.19346862126787], [262.1535652640456, 213.31830133767238], [206.44948884008335, 215.73102796399917], [278.8280508870147, 250.50462258828654], [180.57396605208115, 257.42563735422624], [296.8341984520831, 214.11875131967906], [173.89519844134483, 223.37559404591266], [254.01032640135958, 315.02312186354163], [210.3059068786875, 315.8076904915475], [283.40303972208574, 376.3312341765406], [182.43489295182258, 383.15252355627115], [271.65076093217687, 451.33766860327455], [193.23589350726155, 454.7539163775851]]",squat
"[[227.20347372756927, 158.27620797742182], [233.5086212088809, 151.41556714032149], [224.3151069926621, 151.13898473569114], [248.67117281019566, 158.45463479135242], [220.4793912209493, 159.27078124143478], [263.22743897626407, 202.19106981511425], [205.8411853972691, 202.09482206872002], [282.4757252810155, 234.4590976927236], [187.3862520324961, 238.85930104959533], [299.1372535233686, 202.74595931760985], [171.4481023641733, 203.70745138418155], [254.8496242372509, 308.9576064920723], [209.53961766930976, 308.49780659665686], [282.10181258076693, 378.61832362946257], [185.91652788887896, 378.54315684391906], [272.72407973878353, 448.9735991939934], [192.94151000817948, 454.85654045787027]]",squat
"[[220.4572673646923, 144.37843608261394], [227.35951546571854, 137.48552645566312], [218.97521782317926, 138.53720815662535], [248.19289423571803, 143.06281956218632], [221.47579847403227, 145.74243521739936], [264.9493767664983, 187.2791242698622], [208.0250678587852, 190.05841376132133], [281.2858678694822, 224.89314069371216], [184.16041197747055, 227.02685215369084], [299.1195055278572, 186.78922415275338], [169.63369311017456, 192.54402955703577], [253.998091215899, 299.82534515634643], [209.01101740878735, 299.53717276175155], [277.73438471518534, 375.21950767342616], [190.88168451543163, 375.11679437205106], [269.8909438325561, 448.1090795473349], [194.24158173638423, 455.00946243190964]]",squat
"[[222.63364335851213, 131.13172782929672], [229.30681854176672, 124.1274088187426], [221.30089539747974, 123.51080583187746], [246.45774032370713, 129.65425656887697], [219.75787414582504, 128.97151671427451], [262.25346785325274, 175.05243463972255], [204.6850768543331, 174.450053990259], [278.86111424023795, 217.06503989047172], [188.6203373296345, 215.9391966282454], [298.31214357562476, 178.72358508516498], [171.0254060503351, 181.25489447072243], [254.1405366512941, 292.63447327326344], [210.55767491552785, 292.17978921600786], [273.1579995700575, 373.31774279382273], [193.68260764282607, 371.0642202976092], [269.81137225137184, 446.61090478084196], [194.49151330579096, 454.70364227612157]]",squat
"[[224.49257467987633, 115.69800743689905], [232.34891578586087, 108.41610129310783], [221.1076236812092, 107.97507054096944], [249.59987910026823, 115.18533115823155], [217.26521533640906, 113.85534211156771], [262.869290651254, 162.1328649302778], [203.81627261266888, 161.49630863800368], [278.5162301172586, 209.1767931678439], [185.58167023371263, 206.0529427320199], [301.2198111867211, 170.2502219939678], [172.68184614280653, 168.21227611474336], [253.16288565399742, 288.1801966074351], [212.83381297533825, 287.54927660967854], [268.7582915141528, 366.6784377950641], [197.60175393177914, 366.9032202936756], [268.07325161420385, 441.7740629517363], [194.79210262734776, 451.9627902215335]]",squat
"[[228.2697832262194, 105.68675380238872], [235.4944716372262, 99.34958251746926], [224.75633204850735, 99.1648672276376], [251.31076685851926, 106.71417281930016], [219.69637503990762, 106.3289493632168], [264.0311638679425, 151.51594185779595], [207.89122779751023, 151.04773832705808], [278.9606274785222, 201.15704348082355], [185.16141609937387, 198.5530684742759], [300.5547998105166, 156.7376626504434], [171.73093321913245, 160.6678947837338], [254.26231253419746, 279.7305261766588], [212.41053424605215, 279.08419769667785], [266.8396916062321, 365.34738466298506], [200.64662623058487, 363.8086755161722], [268.60653065346384, 437.27272067397155], [193.81881652403771, 449.7743535190511]]",squat
"[[235.53157596231253, 102.37418167804235], [243.74874812897428, 94.60714800194248], [230.52218674126385, 92.86128458510814], [255.61752636566482, 100.36396236776562], [221.8531541170053, 95.95756396930085], [265.1197075100302, 144.16524922773397], [207.6635321063956, 146.3071997596915], [277.83603628559075, 197.4045243927446], [185.88795830454995, 195.1993299868895], [299.92917452681337, 151.75036828879755], [171.644318872083, 153.12290290784935], [255.08615529462853, 276.70072666572685], [214.43398430045085, 276.7584507281964], [263.4348068812285, 362.74716611215825], [203.22314741209988, 361.4103585915357], [267.90661722607524, 434.0552237821964], [195.6137071776043, 449.2684520951428]]",squat
"[[235.99122393403877, 97.63523124607586], [243.89728934749994, 90.61244817880484], [230.67401005671576, 89.10588861255289], [254.83930433118667, 97.11612906624524], [221.67787036380253, 92.43448261411672], [266.0353484867516, 142.27927895940516], [207.73412779810027, 142.66980859197352], [278.81383400201304, 193.92316207568513], [185.43755438124563, 193.40016638662613], [298.36798724166573, 151.84374708147902], [171.62921721127327, 149.26512870867882], [255.4782948721967, 275.82655032310566], [215.551925548149, 276.63177561611246], [262.6530948151174, 362.57387868084186], [204.79688475880457, 360.96503233959174], [266.40724073204825, 423.77592471434025], [195.646942529262, 448.90161760135896]]",squat
"[[236.25809586221612, 97.05816212414209], [244.63189813054774, 89.99756319359287], [230.10690123028667, 88.06686441021006], [255.0792466082345, 97.19762955782568], [220.8982158351589, 92.19944749701297], [267.1830517834289, 142.89426803588867], [207.88265712048062, 143.28009175163794], [279.84596934487075, 191.85434458409426], [186.24646053988326, 193.11034109389212], [297.7189251885841, 152.38184443134776], [172.83790324681019, 148.30589591837227], [256.24675711078606, 275.3843577141078], [216.43971901177866, 275.977665074402], [262.67639688543375, 363.14702926207485], [205.48408641141071, 361.65651858720366], [267.385520583131, 433.076403245113], [195.8715630668117, 448.73459472973485]]",squat
"[[236.4766178904353, 97.15694176679838], [244.62634163933834, 90.15521785077831], [229.93828947975334, 88.33247757751084], [254.66606274959702, 97.2942897039243], [220.7914588357208, 92.76630278684493], [265.49087808682367, 140.6309956572408], [208.77207936467352, 142.67143241580956], [278.5995695546363, 191.78219644542546], [186.04632375641822, 192.29409104821093], [299.11931209157757, 151.68581782160578], [172.52109452245637, 145.82110343504846], [256.09853114011133, 276.000321283162], [217.02386733152267, 275.6299853572727], [263.214685564973, 364.84336493664625], [205.400145227349, 362.8974409460278], [267.68356140338955, 434.1338600289549], [195.95923666646723, 448.39643787693336]]",squat
"[[236.063616191523, 97.5770070498302], [244.17508416760737, 90.56235450221199], [229.6940876391722, 88.53661543118483], [254.41280868593722, 97.42009986710896], [221.02254740661496, 92.43834390461816], [265.25750688108735, 140.3124084591618], [208.71444452329388, 141.8415384827929], [278.41997344875534, 192.50665137277076], [186.3932113885384, 192.00486006707015], [299.56612052887743, 151.773244576246], [172.58250936401114, 146.3851155461492], [255.99541733517717, 273.9826056664798], [216.98418179073852, 274.0911688973155], [263.1377903686492, 364.84480672467527], [205.11026888032467, 362.815065096421], [267.85590606518946, 435.89224463441025], [195.6985794828736, 448.56492397443174]]",squat
"[[235.6503609560136, 97.98923004689684], [243.8834511564576, 90.83693934577418], [230.09459665064506, 89.53994723218891], [254.35143944627282, 97.63372762287482], [221.26583349184287, 93.00719378148196], [265.61550089698324, 141.2410978963618], [208.75676109488444, 143.28797988732987], [278.82090328636883, 193.2871995993315], [185.89951739241826, 193.2141151348915], [300.2226899170826, 151.69146155121422], [172.85496281487036, 146.74419970125766], [255.7876789148533, 276.1712708740869], [215.95921883216272, 277.0984832065765], [264.09016230497934, 365.12706445805003], [204.356739278147, 362.6625029807775], [268.0581473511123, 436.1257756326402], [195.80265241452415, 448.49636748030383]]",squat
"[[235.76061517433914, 101.3161547466524], [243.91024325840687, 93.76079922158604], [230.76444529693987, 92.15762758948946], [255.43686753746874, 99.47637482517227], [221.79468357141698, 95.66875827535523], [265.1341118832388, 143.4832303291051], [208.46218180507734, 146.83044378078407], [278.52077345342497, 196.61945414394452], [185.03094413424233, 198.2346298540952], [300.7064386117979, 152.06536037262663], [173.02349847964092, 150.6015020199972], [256.16428113528946, 276.7971736725552], [216.0805297740532, 277.56842654856723], [265.7894860496144, 366.3071414103379], [202.27286919734584, 364.1924181499997], [268.43993604307116, 434.9867090613827], [195.22742620376937, 448.7110819985118]]",squat
"[[225.91612195274686, 107.56793735924481], [233.58145882830553, 100.66046660258716], [222.9711508800483, 100.83245214950023], [251.89550800283834, 107.2964212255022], [219.05975678854327, 107.07045245814969], [264.7618829832256, 153.63490903699721], [208.42294534377893, 154.09119461281634], [278.989516276084, 201.94849502024186], [185.70369692701314, 204.2759783302672], [303.88675211868764, 158.7494520040659], [172.04645369008279, 160.5190318736118], [254.36137867568686, 284.075312703662], [214.68843888344242, 283.8723753693198], [269.86997117619507, 371.2099490691124], [199.2917384588297, 367.051520987013], [269.995149604496, 437.40403825676617], [193.84252058493126, 451.561249715127]]",squat
"[[225.9796790918045, 119.70348516769569], [233.70901351163394, 112.00604369387558], [220.81495669676212, 112.15060565179203], [248.55269711627287, 118.85921573440648], [217.07082637382396, 119.75778314031336], [263.5582653251854, 166.4964127782229], [203.68855980974226, 165.61056323457905], [278.89073365939134, 212.20815702188537], [184.77767916578267, 213.86228034005592], [301.4448264036754, 171.75484149718733], [172.657631043337, 168.4883761058974], [255.68438071966668, 289.2499991117545], [212.25141636299244, 288.755315752882], [275.7595036480878, 374.8913009548386], [194.1415886869054, 372.26824007014477], [270.80123736803847, 447.1803028717359], [194.26563227251017, 454.8264670025039]]",squat
"[[230.25573192168176, 139.76623412229415], [237.26486911892644, 132.32319939904798], [224.7346632198088, 132.84513563413384], [249.21153538440223, 137.50549165721745], [216.56248822281614, 140.52066089209796], [264.8150806863194, 186.62285358643086], [207.94509998726002, 189.87224602649712], [282.60290796196637, 219.1034205985912], [185.26612795316257, 225.7427103554137], [297.28447895287974, 185.63729363518794], [165.90534723722018, 187.55564719376594], [256.5021326536944, 302.480932580706], [211.54194710904002, 302.2310302559898], [282.779146380831, 379.72565847226343], [189.84090364896335, 378.84550233392855], [271.772928892203, 448.1606602420926], [193.13686008017177, 455.4194680370561]]",squat
"[[235.51206405346213, 166.04245595029883], [242.33880508962145, 156.71242894353094], [230.2387229122392, 156.4554236287139], [251.06983026199183, 162.47487167310814], [221.61967243821113, 162.3936438015246], [264.408601544751, 204.749676888797], [204.52518968720943, 211.0364144656366], [280.1674041827355, 243.96847191570703], [185.78685593952014, 241.21683997076912], [302.7489257205797, 206.76122732816765], [171.19942088137051, 207.01170760727723], [255.90271265739713, 311.6526187333644], [211.14052457274124, 313.33596988923836], [284.94428051732433, 381.53066952362377], [183.92269923632458, 380.21133446643853], [270.6903742157744, 448.55279882831536], [193.37863585061692, 455.4365082738801]]",squat
"[[230.216200535114, 182.39430330399418], [236.65664820562034, 173.8187865259246], [224.27137378843312, 174.41528552287335], [249.40422518089755, 182.73912298951973], [215.79882508751757, 183.30563130844658], [261.37238926798295, 227.48097213538918], [202.86677111706962, 226.17891375091617], [279.2186707320184, 250.97435179966158], [177.4021374708402, 258.45596844837723], [300.57401803327946, 216.4867186992431], [167.21291775019404, 225.12455046052995], [253.15624562221853, 320.42844379766075], [210.87524945423658, 321.07477525167803], [284.4404936332465, 384.693122951008], [181.7367091743961, 385.18144286348024], [270.98533120819536, 453.0815067013683], [193.90150563880462, 456.69043138468345]]",squat
"[[232.43867279090406, 201.74287188325752], [238.63615414704702, 193.49715912912097], [227.399855790168, 192.83224986149716], [249.27294725192064, 199.79129471426944], [219.38450172884302, 198.1754092317609], [261.49161788876984, 239.42863767707175], [206.43711585760613, 240.7691999185606], [278.87196749015067, 271.46348933420165], [185.49046347889734, 265.3908007110231], [296.2026767076425, 242.7446321737246], [171.04992301449212, 238.9818080497631], [254.8950159624064, 328.4157764886868], [208.65718143645543, 329.9940618804488], [287.4013539907095, 387.7202448378978], [180.17921527061543, 389.2094756858017], [272.154517084546, 453.23837918699905], [193.7653036970111, 453.72665845430816]]",squat
"[[242.89561507607698, 218.8946412655519], [250.74578521157503, 211.193903568133], [235.9776630718842, 210.41437394901521], [253.27485019104893, 216.8201517910075], [220.65393840448775, 216.96554548775086], [261.68163700064105, 256.74922154004264], [203.6367711802778, 261.07411969476334], [281.5041482572496, 282.2293957652768], [175.78784938661573, 280.25076939509466], [300.50401429872255, 256.06823859740194], [170.2427549322529, 245.94405782941476], [256.54183108196935, 341.1767913992836], [210.2930550763612, 339.8081602029146], [288.90357047257453, 391.5937006349623], [177.76690798341113, 392.5869762277901], [271.59885309342286, 455.66676312325654], [194.15484743653613, 454.3235475456888]]",squat
"[[233.849581648555, 232.57583547035028], [240.59683716470636, 226.83282205815624], [228.23387818128305, 226.36461704040022], [249.48153228125307, 231.8825979490538], [220.32529251986878, 232.2160620823224], [262.8170546771583, 268.59749627460315], [205.5782696809194, 268.1123324342676], [279.8334417125044, 296.8708997952467], [184.31955464416632, 304.85943647531366], [296.94175348460305, 269.11461477220183], [168.30778654796418, 268.02221653119443], [253.9455122362799, 348.38016117436973], [210.5135659913759, 344.6904904133565], [289.6940633809492, 392.38934705262375], [176.6870234959339, 394.63021849396324], [270.3594274183817, 455.2367620805197], [195.02712634397892, 455.51887222734166]]",squat
"[[229.33275858230752, 247.6158300705115], [237.4240251687857, 240.81753098295533], [224.60995791112063, 240.3560780190133], [251.67029017965908, 245.80402532882852], [217.08710823138392, 244.9178665938348], [260.9712809881897, 278.41803239437746], [207.282365235866, 277.1160964410667], [282.44137615275235, 306.1735069925225], [186.07558430852117, 313.44693713277394], [294.7477843310382, 276.69153590212244], [173.1689392652928, 288.0668729357809], [252.7863964469418, 355.8266038954134], [208.99035776975003, 354.07978581291724], [293.33993996998873, 394.7391638884674], [174.53699102025024, 394.9158434560542], [269.79069972484376, 455.83216911046276], [194.61103982588358, 451.46406316459803]]",squat
"[[232.14181985032286, 256.1996335051412], [239.22700644035103, 249.77568231848323], [225.2890701849099, 248.8188882379671], [250.34475029134455, 252.5076350650272], [217.692052004491, 251.74504060011645], [264.37525764076724, 283.90698621278], [207.96155334758166, 288.47045462245507], [281.25646753767177, 315.36688378347924], [186.49715594095403, 325.3907493147186], [296.2077692491845, 283.5848623898322], [172.06815424183551, 296.9199168706882], [254.0278295965056, 365.4260039329529], [211.39646121717047, 367.56539456313965], [293.74469590534045, 395.26541788216196], [173.3926086068897, 395.7059418089425], [270.30230014586897, 455.3314623366771], [195.84892470226964, 451.9260420372977]]",squat
"[[236.18866277088, 263.0098304728708], [243.19562198218586, 256.42403644236606], [229.9341176502918, 255.96005306918013], [252.58775262971432, 258.15581977986994], [219.5656106278703, 255.74332711106774], [264.46254089815454, 289.67894437159424], [204.81680981086842, 290.46724244115757], [284.1249989372777, 318.1154376008159], [189.4939981726252, 331.00838795025487], [296.760312980525, 289.01779230320034], [171.67376976251109, 299.9449283690066], [255.68996001182128, 368.8739344880388], [208.14949360805838, 368.10548241074025], [293.273140635659, 396.6957813984639], [173.87228349142413, 397.41733911875133], [271.6020462170956, 456.6649835471552], [195.75911723154746, 451.6646995861664]]",squat
"[[237.31921071074362, 265.73328038758893], [244.24621815988775, 258.9854871904528], [231.286717799498, 258.75534634580237], [253.31779924103228, 260.95418374900265], [220.77123638002394, 258.9456732704337], [264.49926702495424, 291.20058775443795], [205.63682300385221, 291.91356389289587], [284.130758654303, 321.18879583917885], [190.11727192297795, 332.77635717776116], [297.04014451984557, 290.64537829520054], [172.50200963565567, 301.1635141660171], [254.96502081222695, 369.48070109757964], [206.566800198783, 369.9743155382279], [292.88647625897386, 396.24924471373373], [174.016518801017, 397.6260121299918], [271.2493433526053, 457.76484414098667], [195.75412853344068, 452.1414138175346]]",squat
"[[237.18558725844798, 265.9736270096595], [244.2986890828535, 259.2665529548502], [231.19187218731506, 258.95482834560215], [253.65566860365522, 261.23246829375904], [220.88063234103197, 258.9349682266648], [264.41413597852426, 291.0393340176208], [205.7150694040152, 291.36029152265456], [284.91636621233334, 319.4385457187581], [190.08811645349198, 331.8737683945535], [297.24667176387413, 289.67203469385476], [172.28038643105364, 300.58614664910493], [255.15027155251613, 369.5553033118932], [206.18398372943585, 370.10526210999046], [292.982807774058, 395.2950586152424], [173.728602343934, 396.84665897036297], [271.25780151192714, 457.1731967886372], [196.26208501645286, 452.2845244457221]]",squat
"[[237.2600680329448, 262.9785277491548], [244.49158904458284, 256.45782446910835], [231.01169230288627, 256.0182965966619], [254.13846672200862, 258.23131370940973], [220.54378307287016, 256.7083364712721], [264.202619416798, 288.9119939348058], [207.90186146440726, 289.7424539260706], [283.59600808665067, 316.6491107980328], [190.7708471381491, 327.3071682626641], [297.39093458330314, 287.42587194621194], [172.04046546793282, 300.9248304020095], [256.1167600001218, 366.78661105538606], [207.92273721675122, 367.44861419384296], [292.94396190286426, 393.4577497771773], [174.09234582262576, 394.965645181414], [270.460594716538, 452.7250515943754], [195.80054357493, 451.8944865204936]]",squat
"[[235.98325996042044, 257.2443024284379], [242.45098474863414, 250.01657926119293], [228.81107890432443, 249.54455211108043], [254.85637827375575, 253.35240215372892], [219.1254116145588, 252.4711832930789], [265.3959737374233, 281.81294938878557], [210.01269762828298, 286.36110151136245], [282.702790972101, 311.530556351628], [190.889032367857, 320.4056349217025], [300.15654852633173, 280.6661669281069], [174.67013912240583, 298.1196733621451], [252.61376751683608, 358.1183531675914], [211.52364885484852, 359.1597134754712], [293.15079324210757, 391.8625480667717], [174.99571679287791, 393.0774310026744], [270.79337897270983, 451.6413702538504], [195.25060584292345, 452.2966882543108]]",squat
"[[232.07739751452965, 247.58932347604986], [239.79575321728873, 241.28317287706784], [226.204276828409, 239.98015189616945], [254.4117836347489, 246.5926872221695], [219.53258891115567, 243.07098011960608], [264.75597493613833, 278.6906404951258], [208.99109334806892, 277.3900745812176], [284.5129639591844, 302.8953162151662], [189.39072376972922, 317.8318840550286], [301.68588072247417, 278.17842320939855], [176.3793961174027, 289.0056344426843], [251.72748684635283, 351.1715936561632], [209.51893919470902, 350.6942271194934], [291.47308928555117, 388.4517616145081], [175.93918818198222, 393.26003584197554], [270.26410162324964, 451.4983944486432], [194.75472791279182, 453.82538555565594]]",squat
"[[234.1038044425901, 235.8788056086106], [241.55578494319798, 229.40424698058385], [229.04616458004577, 228.91198845266553], [250.3082608482694, 233.94930015730512], [222.10898865285387, 233.88498779889701], [263.6808783993156, 270.30893571659334], [206.91195148935932, 269.37823037843447], [281.3993491650619, 294.47355587616283], [187.51482160572203, 305.5463580728321], [299.6590928079681, 268.354578226371], [174.61600224342268, 276.11181691381887], [254.88188261797424, 347.03207709933025], [208.6508953149998, 344.49027134821966], [290.2543698427831, 387.5339293926025], [176.8783353222631, 394.3829660356169], [270.54593468902016, 453.9976159648935], [194.59120498625504, 454.565257391662]]",squat
"[[236.49784854444795, 221.0110904273273], [244.5584275370576, 215.18095416983053], [229.7297572395658, 214.3950492081672], [252.87235204494422, 221.86149034083758], [221.40686625998134, 221.0077823075832], [263.1374736337801, 257.5218285939302], [209.70298445893923, 260.72294845898284], [285.54459371586603, 282.2124794466332], [185.7270074237657, 293.9228882660737], [300.55475185418084, 253.95777517941292], [173.05394368954856, 266.24541155018085], [254.92993114891766, 337.95779509752555], [208.87727499503853, 337.5329753217479], [288.6305539375036, 384.7121835498453], [178.1617192369489, 392.83301924469566], [271.33987896655555, 455.1605980014603], [193.97219600399916, 454.56523558206226]]",squat
"[[229.15049922689332, 208.57456766394222], [237.59789427204095, 202.49499030519672], [224.81096113050307, 201.7780468022749], [252.88807280098328, 208.23711466640546], [218.37675943196191, 208.56985381635957], [263.08217911115554, 246.86685173526377], [210.12466811340713, 249.82796389446935], [281.83657116800737, 268.82377632442484], [189.91246193709344, 278.35727580619704], [299.683668819138, 243.46385527549316], [178.61554825875965, 252.29286503147435], [255.45599554779625, 332.25561613352534], [207.49676698458666, 332.80611454882893], [286.7779255904676, 383.8770067369616], [179.99907689877708, 389.7002372821007], [271.1138854155669, 454.4961487181222], [193.58471426299604, 452.2683397400156]]",squat
