keypoints,label
"[[216.22147530379266, 93.30358029403212], [222.70768001025036, 86.87080712427469], [209.85280649577754, 87.37275307986444], [231.59040321679225, 91.72647113363857], [200.10977655091554, 93.46220200869745], [242.17217974752003, 135.1477980861545], [189.35526334322418, 135.20705625569747], [257.6833901435075, 180.61761994867464], [179.6530993217738, 185.68973184375406], [272.8555876599032, 147.91339350837185], [164.53219178808456, 147.17631330113403], [231.53831668802212, 240.56929857963834], [196.1642917625126, 241.3554568300624], [235.709563114539, 328.9612303652535], [193.78211195900138, 325.73828677377685], [241.82247768568647, 401.1095950608442], [182.5288506902429, 401.5930095482269]]",squat
"[[212.16267805833084, 145.66044995789716], [218.5553374260726, 139.61605767945986], [207.0434048864797, 136.72923942613502], [230.85248755318213, 145.92613846745164], [198.7555202352282, 142.97666073836805], [247.6265028955535, 183.9051206989249], [191.27881650865203, 186.3017409358352], [269.7090658973012, 202.80144269154127], [177.82385879643493, 226.34802687440742], [269.70032024780085, 183.54198491498983], [173.1355329065462, 246.63773296776532], [231.5266603243822, 274.06603382927466], [195.60583589478492, 271.17747824306053], [242.46582122453782, 336.9011725308742], [180.2295091989878, 335.2976385620181], [242.6320014525352, 403.47201363212605], [179.95048015380354, 401.68618635427435]]",squat
"[[208.9776606173129, 128.44448079686157], [212.90020734505447, 122.66354550938597], [204.3566019768031, 121.49556312640344], [225.2829208691254, 126.939587186627], [197.66770343522768, 127.79612848515819], [240.2468758660394, 167.3820179861945], [189.92393973463538, 167.75046824913264], [262.4434639163424, 208.92100621657661], [180.18718767067003, 216.05288511502272], [268.5009974699754, 172.70615442874774], [161.19820808918215, 184.12575751481086], [230.66230177135824, 264.69790266358183], [194.41625531646667, 264.55075701160393], [242.11840421395095, 334.68898269589874], [180.57499110326947, 330.8090815425167], [242.41077875149227, 401.72049855491974], [179.93457500751202, 401.4458948757941]]",squat
"[[207.41350685484446, 117.54804837232817], [214.52124351771113, 110.16488422227253], [203.8847304679252, 109.95252811487401], [225.2418707413386, 116.88043867971695], [196.13828802802706, 116.8835733140085], [239.46200884305514, 159.5477933943148], [188.01785011053582, 159.19438469186892], [258.7699334983271, 201.75836562119008], [177.99845752993642, 209.25725770343615], [270.5323656482657, 164.02581203999986], [166.41128631676557, 171.16166598583706], [229.7573833108692, 257.43300007683325], [193.61584597962315, 255.26374491733228], [240.3643731020097, 332.48616307354274], [184.94269654557513, 329.31273816281197], [241.7537923166509, 402.4533997454416], [181.24277824671503, 401.5247127866051]]",squat
"[[214.48994475937684, 106.44075181528834], [220.6548682865135, 99.48568839169342], [208.2658022208422, 101.03952215515899], [228.94020462234403, 106.01210148071797], [199.89273584062494, 107.8519127225182], [241.0129256654926, 148.36202788005997], [190.01227753573792, 147.21179454589338], [255.68435197064883, 190.23084541368385], [178.97290747279686, 199.3797045828399], [271.30953685657397, 158.82912842003077], [166.37771911222077, 164.05933488183607], [229.8610706091423, 247.7070169984179], [195.65984191616957, 246.95663293533167], [238.50117651687592, 331.10582184147194], [186.10034018693, 325.6656548585317], [241.8703289388867, 398.82436289361016], [181.49093976883285, 399.9356695619294]]",squat
"[[213.66241716793323, 99.09215408402521], [220.347971529574, 92.62335176527377], [207.79257405572523, 93.1693521210161], [229.14834949429962, 97.41024044100313], [199.66242201393956, 97.48704592056434], [238.12238689271925, 139.43518620766622], [191.2084468437084, 140.3729191936723], [259.01587688501564, 181.8737815174888], [179.36739455637468, 191.03958205225067], [271.57841749845574, 151.59518109042037], [163.48027042936138, 161.07636033373416], [232.23408232607613, 244.6668480141495], [195.20079569112735, 243.9830466764137], [237.3052144001031, 329.5485210022163], [188.56443536008967, 324.49549895066485], [241.29103028105104, 399.24746218937105], [182.17565017034013, 399.6552319387884]]",squat
"[[216.15857344407303, 94.16134590418572], [222.69170943515962, 88.37849880702282], [209.48037684831203, 88.46503929883676], [230.84445666374637, 94.50097986169764], [199.37444061598512, 94.04815160311186], [239.28675185617936, 134.99872686957124], [187.23665503107338, 138.43363288038734], [256.3379351165835, 180.76969432236004], [177.13633495655972, 189.1999829583753], [270.6950989681569, 147.79121613056398], [160.75194600713974, 155.80484723350858], [232.84310274399246, 242.96659342712277], [195.40528646377913, 241.74303820128253], [235.75849840398143, 326.9286740594495], [191.5983494502839, 323.9770391626814], [241.09257184542145, 399.45919164253127], [182.6325830947337, 398.87479337981733]]",squat
"[[215.41328192252877, 92.44317621798129], [222.00195705072798, 86.16039807484205], [209.37090257101397, 86.19721565325891], [230.5950127123795, 92.20790466498933], [199.67938195178266, 92.05569546832365], [239.7851562301731, 133.7713986449331], [188.1010477855151, 135.98364678341238], [257.6552626992462, 179.66184199723781], [177.61201818866692, 189.44138945264282], [271.76670076445583, 145.24746932507554], [160.69927334537627, 155.1929233971356], [232.92857915039124, 241.96920870743276], [195.73178162445893, 241.4445411142837], [233.7245640660522, 325.43617078023743], [193.2439650418605, 322.556433211741], [240.86421244853253, 399.5590010452667], [185.7667673154581, 393.14486925914235]]",squat
"[[215.18668018111075, 92.9141540289421], [221.95014735517285, 86.70687725043346], [209.37978899156727, 86.75448066727287], [230.7448305359997, 92.6146675791909], [199.88989712294818, 92.28236610824997], [239.60269513596123, 134.15140458798953], [187.1293627050959, 135.92160739422837], [258.03005075752117, 180.44274859517628], [178.25721851753346, 190.41379028447207], [272.3707116815008, 145.45489249754846], [163.20365258413145, 158.7395454890515], [233.21818921273564, 243.52495586054243], [195.99411740372435, 243.71800452408823], [234.11175453737224, 325.4094123840332], [193.56215966714396, 322.97517950966056], [241.02150377761302, 397.8824215222793], [185.16889084401598, 393.56874676107617]]",squat
"[[215.03185581516576, 92.661507660039], [221.434446481558, 86.29760722360592], [209.23299452371262, 86.30686539870042], [230.50303072542758, 91.87222914983231], [199.92875935134174, 91.84133932149336], [240.74888873744658, 133.47193134054078], [188.44522309650256, 135.66436068679587], [259.21531030888866, 180.7163867038402], [176.22751703876963, 186.87627518747058], [272.96431545408257, 145.20008697826998], [159.7619121139114, 153.36254976395512], [233.5957235457248, 241.34597560224316], [195.79387801600595, 241.19095594124587], [234.53054197612772, 325.1287436534858], [192.4580749503788, 322.234007028433], [241.0270518423862, 398.54057291193465], [185.66940133140392, 393.5939903814431]]",squat
